ingredient,adulterant,count
Olive oil,Hazelnut oil,28
Milk (fluid),Water,22
Milk (fluid),Melamine,22
Olive oil,Sunflower oil,21
Honey (botanical origin specific),Honey of non-authentic botanical origin,17
Olive oil,Soybean oil,17
Olive oil (extra virgin),Hazelnut oil,16
Olive oil (extra virgin),Sunflower oil,15
"Milk (fluid, caprine)",Milk (bovine),14
"Milk (fluid, ovine)",Milk (bovine),12
Olive oil,Corn oil,12
Honey,Honey from non-authentic botanical origin,11
Milk (fluid),Urea,11
Honey (geographic origin specific),Honey of non-authentic geographic origin,11
Milk (fluid),Glucose,11
Honey,Corn syrup,11
Milk (powder),Melamine,10
Olive oil,Oil from non-authentic botanical origin,10
Olive oil,Canola oil,9
"Wheat pasta (durum, Triticum durum)",Common wheat (Triticum aestivum),9
Milk (fluid),Formaldehyde,9
"Milk (fluid, water buffalo)",Milk (bovine),9
Honey,Non-authentic sugars,9
Olive oil (extra virgin),Non-authentic oils,9
Milk (fluid),Detergent,8
Olive oil (extra virgin),Corn oil,8
Milk (fluid),Starch,8
Milk (fluid),Whey,8
Grapefruit seed extract,Benzethonium chloride (Antimicrobial compound),8
Honey,Honey of non-authentic geographic or botanical origin,8
Olive oil (extra virgin),Soybean oil,8
Chili powder,Sudan red I dyes,7
"Milk (fluid, ovine)",Milk (caprine),7
Chili powder,Sudan dyes,7
Rice (Basmati),Rice from non-authentic botanical origin,7
Milk (fluid),Sucrose,6
Olive oil,Cottonseed oil,6
Chinese star anise (Illicium verum Hook. f.),Japanese star anise (Illicium anisatum Linn),6
Olive oil,Olive pomace oil,6
Vanilla extract,Synthetic or semi-synthetic vanillin,6
Orange juice,Grapefruit juice,6
Gelatin* (bovine or porcine),Gelatin of non-authentic animal origin (porcine or bovine),6
Cheese (ovine),Non-authentic milk (bovine),6
Olive oil (extra virgin),Olive pomace oil,6
Milk (fluid),Milk from non-authentic species,5
Olive oil,Sesame oil,5
Grapefruit seed extract,Methyl p-hydroxybenzoate (Antimicrobial compound),5
Shell eggs (organic),Shell eggs (conventional),5
Grape wine (Vitis vinifera),Grape wine from non-authentic botanical origin,5
Milk (fluid),Hydrolyzed leather,5
Milk (fluid),Hydrogen peroxide,5
Wheat gluten*,Melamine,5
Milk (fluid),Sodium chloride,5
Honey,Non-authentic sweeteners,5
Black pepper,Papaya seed,5
Pumpkin seed oil,Oil from non-authentic botanical origin,5
Honey,High-fructose corn syrup,5
Olive oil (virgin),Soybean oil,5
Grapefruit seed extract,Triclosan (Antimicrobial compound),5
Orange juice,"Mixture of sugar (corn, beet, or cane) and water",4
Maple syrup,Beet sugar,4
Black pepper,Mineral oil,4
Olive oil,Oil of non-authentic botanical origin,4
Maple syrup,"Water, cane sugar, and maple flavor",4
Milk (powder),Soy protein,4
Coffee,Coffee of non-authentic botanical origin,4
Maple syrup,Cane sugar,4
Wheat gluten,Melamine,4
Olive oil (extra virgin),Olive oil from non-authentic geographic origin,4
Milk (fluid),Soy protein,4
Milk (fluid),Reconstituted milk powder,4
Vegetable oils (single seed),Oil from non-authentic botanical origin,4
Olive oil,Palm oil,4
Milk (fluid),Pea protein,4
Olive oil (virgin),Corn oil,4
Locust bean gum*,Guar gum,4
Chili powder,Sudan I dye,4
Milk (fluid),Rice flour,4
Rice,Rice from non-authentic botanical origin,4
Honey,Beet sugar,4
Milk (fluid),Caustic soda,4
Saffron,Flowers from safflower (Carthamus tinctorius L.),3
Maple syrup,Corn syrup,3
Milk (fluid),Vegetable oil,3
Cod liver oil,Mutton fat,3
Mustard seeds,Argemone seeds,3
Strawberry puree,Apple puree,3
Saffron,Flowers from Calendula,3
Milk (fluid),Milk from non-authentic geographic origin,3
Grape wine (Vitis vinifera),Sugars,3
Milk (fluid),Skimmed milk powder,3
Glycerin,Diethylene glycol,3
Salmon (Russia origin),Salmon (China origin),3
Chinese star anise (Illicium verum Hook. f.),Non-authentic species,3
Olive oil,Peanut oil,3
Milk (fluid),Skim milk powder (reconstituted),3
Orange juice,Sodium benzoate fortified orange pulpwash,3
Grapefruit seed extract,Benzalkonium chloride (Antimicrobial compound),3
Olive oil,Olive oil of non-authentic geographic origin,3
Turmeric,Lead chromate,3
Milk (fluid),Whey protein,3
Turmeric powder,Lead chromate,3
Olive oil (extra virgin),Peanut oil,3
Rice (Basmati),Non-authentic varietal,3
"Milk (fluid, caprine)",Milk (ovine),3
Olive oil (extra virgin),Vegetable oils,3
Shell eggs (free range),Shell eggs (caged),3
Shrimp,Shrimp of non-authentic geographic origin,3
Milk (fluid),Arrowroot,3
Coffee (instant),Chicory,3
Olive oil (virgin),Hazelnut oil,3
Edible oil,Non-authentic oils,3
Wheat flour,Melamine and related compounds,3
Apple juice,"Mixture of water, sweeteners, flavorings, and colors",3
Milk (powdered),Arsenic contaminated sodium phosphate,3
Milk (powder),Whey,3
Apple juice,High-fructose corn syrup,3
Cooking oil,Waste or recycled oil,3
Soy protein isolate,Milk proteins,3
Smoked paprika from &ldquo;La Vera&rdquo; region,Smoked paprika from non-authentic geographic origin,3
Mangoes (fresh),Calcium carbide,3
Orange juice,Orange pulpwash,3
Milk (fluid),Cyanuric acid,3
Fruit juice,Juice from non-authentic botanical origin,3
Milk (fluid),Soy milk,3
Vanilla extract,Synthetic vanillin,3
Olive oil (extra virgin),Canola oil,3
Turmeric powder,Rice flour,3
Sesame oil,Oil from non-authentic botanical origin,3
Gelatin*,Industrial gelatin dervied from waste leather,3
Milk (fluid),Flour,3
Guar gum*,Locust bean gum,3
Sesame oil,Soybean oil,3
Vanilla extract,Ethyl vanillin,3
Vanilla extract,Synthetic or semi-synthetic or p-hydroxybenzaldehyde,3
Grouper,Catfish,2
Milk-derived formula,Melamine,2
