category,shelf
Animal feed,
"Cereals, grains, and pulses",Cereal
Colors,
Dairy products and milk derivatives,Cheese
Emulsifiers,
Flavor chemicals,
"Fruit juices, concentrates, jams, purees, and preserves","Fruit & Vegetable Juice, Nectars & Fruit Drinks"
Functional food ingredients,
Gums,
Meats,USDA Meat
Milk,Milk
Natural flavoring complexes,
Nuts and nut-derived ingredients,
Oils,Vegetable & Cooking Oils
Other,
Preservatives,
Protein-based ingredients,
Seafood,USDA Fish
Spices,Herbs & Spices
Sweeteners,
"Wines, musts, spirits, liquors, and vinegars",Alcohol
