adulterant,source,auto SMILES
beta-apo-8'-carotenal,usp,
beta-asarone,rasff,C\C=C/C1=C(OC)C=C(OC)C(OC)=C1
beta-carotene,usp,CC1=C(\C=C\C(C)=C\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)CCCC2(C)C)C(C)(C)CCC1
beta-carotene,ema,CC1=C(\C=C\C(C)=C\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)CCCC2(C)C)C(C)(C)CCC1
beta-phenylethanol,usp,C1(=CC=CC=C1)CCO
"beta-phenylethyl alcohol, rhodinol fractions, and cheaper rose oils (morocco, crimea, etc.)",usp,
beta-phenylmethylamine,rasff,
"beta-pinene, undecatrienes",usp,
betalain pigments derived from red beets,usp,
betanin,rasff,OC[C@H]1O[C@@H](Oc2cc3C[C@H](N(C=CC4=CC(=[NH+][C@@H](C4)C(O)=O)C(O)=O)c3cc2O)C([O-])=O)[C@H](O)[C@@H](O)[C@@H]1O
betanine dye,usp,
bigeye thresher shark,ema,
bigeye tuna (thunnus obesus),usp,
bighead carp [hypophthalmichthys nobilis],ema,
biotoxin,fda,
bis,rasff,C=CC(=O)NCNC(=O)C=C
bishop flower,ema,
bisnaga,ema,
biurea,usp,NC(=O)NNC(N)=O
biuret,usp,NC(=O)NC(=O)N
black leaf 40,ema,CN1CCCC1c2cccnc2
black oxide paint,ema,
black rice pigment,usp,
bleach,rasff,
bleach liquor,ema,
"blended vinegar (mixture of fermented vinegar, acetic acid and food additives)",usp,
blossoms from onopardon acanthium l. mixed with barium sulfate and artificial color,usp,
blotting paper,ema,
bonito (euthynnus affinis),usp,
borax,usp,O.O.O.O.O.O.O.O.[Na+].[Na+].OB1O[B-]2(O)OB(O)O[B-](O)(O1)O2
borax and glycerin,usp,
boric acid,ema,B(O)(O)O
boric acid,usp,B(O)(O)O
boric acid,rasff,B(O)(O)O
boron,rasff,[B]
boron chelate,rasff,
boron citrate,rasff,C(CC(O)(C(=O)[O-])CC(=O)[O-])(=O)[O-].[B+3]
boron glycinate,rasff,NCC(=O)[O-].[B+3].NCC(=O)[O-].NCC(=O)[O-]
bovine bones,ema,
bovine gristle,ema,
bovine milk proteins,usp,
bovine protein,rasff,
brachyplatystoma platynemum [common name slobbering catfish],ema,
bran or saw dust,usp,
brazilwood dye,usp,
brick dust,usp,
brick powder,usp,
"brick powder, sand, or dirt",usp,
brilliant blue fcf,rasff,[Na+].[Na+].CCN(Cc1cccc(c1)[S]([O-])(=O)=O)c2ccc(cc2)[C+](c3ccc(cc3)N(CC)Cc4cccc(c4)[S]([O-])(=O)=O)c5ccccc5[S]([O-])(=O)=O
bromate,rasff,Br(=O)(=O)[O-]
brown peas or soybeans with green color and sodium metabisulfite,usp,
buckwheat,usp,
buckwheat flour,usp,
buri (seriola quinqueradiata),usp,
burned sugar,usp,
burned tires,usp,
burnt diesel oil,ema,
butanone,rasff,CC(CC)=O
butter of non-authentic geographic origin,usp,
butter yellow dye,ema,
buttermilk whey,usp,
butylated hydroxyanisole,rasff,COc1ccc(O)c(c1)C(C)(C)C.COc2ccc(O)cc2C(C)(C)C
butylated hydroxytoluene,rasff,Cc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C
by-product of pesticide processing containing salt,usp,
c12 benzalkonium chloride (antimicrobial compound),usp,
c14 benzalkonium chloride (antimicrobial compound),usp,
c16 benzalkonium chloride (antimicrobial compound),usp,
c4 sugars,usp,
cabernet sauvignon wine,usp,
cadmium,rasff,[Cd]
caffeine,rasff,N1(C)C(=O)N(C)C=2N=CN(C)C2C1=O
cage eggs,ema,
calcium caprylate,rasff,C(CCCCCCC)(=O)[O-].[Ca+2].C(CCCCCCC)(=O)[O-]
calcium carbide,usp,[Ca++].[C-]#[C-]
calcium carbide,ema,[Ca++].[C-]#[C-]
calcium carbide powder,ema,
calcium carbonate,ema,C([O-])([O-])=O.[Ca+2]
calcium carbonate,rasff,C([O-])([O-])=O.[Ca+2]
calcium carbonate,usp,C([O-])([O-])=O.[Ca+2]
calcium disodium ethylene diamine tetra acetate,rasff,
calcium lactate gluconate,rasff,O=C([C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)[O-].C(C(O)C)(=O)[O-].[Ca+2]
calcium propionate,usp,C(CC)(=O)[O-].[Ca+2].C(CC)(=O)[O-]
calcium sorbate,ema,C(\C=C\C=C\C)(=O)[O-].[Ca+2].C(\C=C\C=C\C)(=O)[O-]
"camphor, isobornyl acetate (+ eucalyptus and turpentine oil fractions)",usp,
"cananga oil (cananga odorata), ylang ylang oil tails, and ylang ylang oil reconstitutions",usp,
cane invert syrup,usp,
cane or corn sugars,usp,
cane sucrose,usp,
cane sugar,usp,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
cane sugar,ema,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
cane sugar syrup,usp,
cane sugar syrup,ema,
canola oil,usp,
canola oil,ema,
canola oil and soybean oil,usp,
cape,ema,Oc1ccc(\C=C\C(=O)OCCc2ccccc2)cc1O
cape dory,ema,
cape gurnard,ema,
capsaicin,rasff,COc1cc(CNC(=O)CCCC\C=C\C(C)C)ccc1O
capsaicinoids,rasff,
capsicum,usp,
carageenan,rasff,
caramel,usp,
caramel,ema,
caramel coloring,ema,
caramelized sugar,usp,
carbide,ema,
carbide,usp,
carbonate of lime,usp,
carboxymethyl cellulose,usp,[Na].CC(O)=O.OCC(O)C(O)C(O)C(O)C=O
carboxymethyl-cellulose,usp,
carmalized sugar,usp,
carmines,rasff,
carmoisine,usp,[Na+].[Na+].[O-][S](=O)(=O)c1ccc(N\N=C\2C=C(c3ccccc3C2=O)[S]([O-])(=O)=O)c4ccccc14
carnuba wax,usp,
carob powder,usp,
carrageenan,rasff,
cashew,usp,
cassava flour,usp,
cassia,ema,
cassia,usp,
cassia cinnamon,usp,
caster oil,usp,
castor oil,usp,
cat meat,ema,
catfish,usp,
catfish,ema,
catfish roe,usp,
caustic soda,usp,[OH-].[Na+]
caustic soda,ema,[OH-].[Na+]
caustic soda sodium chloride and formalin,ema,
cedar wood stearin,usp,
cedarwood oil,usp,
cedarwood oil chinese (cupressus funebris),usp,
cellulose,usp,
cellulose,ema,
central american coffee beans,ema,
cereals,usp,
cesium,fda,[Cs]
cetrimonium bromide (antimicrobial compound),usp,
chalk,usp,[Ca++].[O-]C([O-])=O
chalk powder,usp,
chanodichthys mongolicus,ema,
cheap bulk wine from south america,ema,
cheap edible oil,ema,
cheap french table wine,ema,
cheap red wine,ema,
cheap rice from asia,ema,
cheap spanish oil,ema,
cheaper apple juice concentrates,ema,
cheaper flatfish species,ema,
cheaper oils,ema,
cheaper refined olive oils,ema,
cheaper tropical tuna species,ema,
cheaper white grape juice concentrates,ema,
cheese of non-authentic geographic origin,usp,
cheese substitute,ema,
cheese whey,usp,
chemical contamination,rasff,
chemical dyes,ema,
chemical powder,ema,
chemical whiteners,ema,
chemicals,ema,
chestnut flour,usp,
chestnut shell,usp,
chicken,ema,
chicken and turkey meat,usp,
chicken blood,ema,
chicken buttocks,ema,
chicken fat,usp,
chicken feed (conventional),usp,
chicken meat,ema,
chicken meat,usp,
chicken meat from non-corn-fed chickens,usp,
chickpea,usp,
chickpea flour,usp,
chicory,usp,
chicory powder,usp,
chilean salmon,ema,
chilled cuttlefish,rasff,
china  clay,usp,
chinese catfish,ema,
chinese garlic,ema,
chinese honey,ema,
chinese potato,ema,
chinese salmon,ema,
chinese shrimp,ema,
chinese tangerines,ema,
chinese-produced infant formula,ema,
chloramphenicol,ema,OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)[N+]([O-])=O
chloramphenicol,fda,OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)[N+]([O-])=O
chlorine,rasff,[Cl]
chlorine dioxide,rasff,Cl(=O)=O
chloroflurocarbons,fda,
chloroform,ema,C(Cl)(Cl)Cl
chloroform,rasff,C(Cl)(Cl)Cl
"chloroform, acetone, and isopropyl alcohol",usp,
chlorophenol,rasff,ClC1=C(C=CC=C1)O
chlorophyll,ema,[Mg++].CCc1c(C)c2[n-]c1cc3nc4c([C@@H](C(=O)OC)C(=O)c4c3C)c5nc(cc6[n-]c(c2)c(C=C)c6C)[C@@H](C)[C@@H]5CCC(=O)OC/C=C(C)/CCCC(C)CCCC(C)CCCC(C)C
chlorophylls,rasff,
chlorophylls (copper complexes of),usp,
choline,usp,OCC[N+](C)(C)C
choti elaichi seeds,usp,
christmas hampers,rasff,
chromium,rasff,[Cr]
chromium amino acid chelate,rasff,
chromium nicotinate,rasff,C(C1=CN=CC=C1)(=O)[O-].[Cr+3].C(C1=CN=CC=C1)(=O)[O-].C(C1=CN=CC=C1)(=O)[O-]
"chromium nicotinate, calcium potassium phosphate-citrate, zinc glycinate chelate, copper glycinate chelate, manganese glycinate chelate",rasff,
chromium polynicotinate,rasff,
"cinnamomum camphora (var. cineole type) fractions (1,8-cineole rich)",usp,
cinnamon leaf oil,usp,
ciprofloxacin,ema,OC(=O)C1=CN(C2CC2)c3cc(N4CCNCC4)c(F)cc3C1=O
citral,usp,CC(C)=CCCC(C)=CC=O
citrate,rasff,C(CC(O)(C(=O)[O-])CC(=O)[O-])(=O)[O-]
citric acid,usp,C(CC(O)(C(=O)O)CC(=O)O)(=O)O
citric acid,rasff,C(CC(O)(C(=O)O)CC(=O)O)(=O)O
citric acid,ema,C(CC(O)(C(=O)O)CC(=O)O)(=O)O
citric acid (c4 or paraffin derived),usp,
citric acid from non-authentic source,usp,
"citronella oil (java type, cymbopogon winterianus)",usp,
"citrulline malate, arginine alphaketoglutarate, beta-alanine",rasff,
