water,milk,Dairy Products,23
urea,milk,Dairy Products,6
hydrogen peroxide,milk,Dairy Products,6
Beef,lamb,Meat Products,5
palm oil,ghee,Dairy Products,4
caustic soda,milk,Dairy Products,4
methanol,vodka,Alcoholic Beverages,4
non-organic wheat,organic wheat,"Grains and Grain Products, Produce and Legumes",4
vegetable oil,ghee,Dairy Products,4
pork,beef,Meat Products,3
skimmed milk powder,milk,Dairy Products,3
Refined Olive Oil,extra virgin olive oil,Oils and Fats,3
Clenbuterol,pork,Meat Products,3
starch,milk,Dairy Products,3
non-free range eggs,free range eggs,Eggs,3
corn syrup,honey,Honey and Other Natural Sweeteners,3
Chinese honey,honey,Honey and Other Natural Sweeteners,3
stolen baby formula,baby formula,Dairy Products,3
detergent,milk,Dairy Products,3
sugar,milk,Dairy Products,3
lamb,ground beef,Meat Products,3
sudan IV,palm oil,Oils and Fats,3
pork,ground beef,Meat Products,3
formaldehyde,milk,Dairy Products,3
pork,lamb,Meat Products,3
Non Zam Zam Water,Bottled Zam Zam Water,Other Beverages,3
glucose,milk,Dairy Products,3
non-organic oats,organic wheat,"Grains and Grain Products, Produce and Legumes",2
corn sugar,honey,Honey and Other Natural Sweeteners,2
ammonium chloride,bootleg liquor,Alcoholic Beverages,2
cage eggs,free range eggs,Eggs,2
methanol,bootleg liquor,Alcoholic Beverages,2
Lower cost beef,USDA Prime Steaks,Meat Products,2
ammonium chloride,Moonshine,Alcoholic Beverages,2
counterfeit Borjomi mineral water,Borjomi mineral water,Other Beverages,2
Chinese Garlic,garlic,Produce and Legumes,2
counterfeit ghee,ghee,Dairy Products,2
Lower cost beef,Kobe Beef,Meat Products,2
calcium carbide,mangoes,Produce and Legumes,2
non-organic alfalfa,organic wheat,"Grains and Grain Products, Produce and Legumes",2
turkey,lamb,Meat Products,2
cane sugar,milk,Dairy Products,2
palm oil,sweetened condensed milk,Dairy Products,2
cottonseed oil,peanut oil,Oils and Fats,2
melamine,milk,Dairy Products,2
Clenbuterol,beef,Meat Products,2
Chinese honey,Malaysian Honey,Honey and Other Natural Sweeteners,2
non-organic millet,organic wheat,"Grains and Grain Products, Produce and Legumes",2
Veterinary Products,tea,Other Foods,2
non-organic field beans,organic wheat,"Grains and Grain Products, Produce and Legumes",2
isopropanol,vodka,Alcoholic Beverages,2
chicken,lamb,Meat Products,2
Dushuqiang,other snack items,Other Foods,2
chicken,beef,Meat Products,2
lead chromate,turmeric,Spices and Extracts,2
non-organic corn,organic wheat,"Grains and Grain Products, Produce and Legumes",2
non-organic field peas,organic wheat,"Grains and Grain Products, Produce and Legumes",2
sunflower oil,extra virgin olive oil,Oils and Fats,2
Expired products,tea,Other Foods,2
Turkish honey,honey,Honey and Other Natural Sweeteners,2
copper cholorphyllin,Grapeseed Oil,Oils and Fats,2
copper cholorphyllin,Pure Olive oil,Oils and Fats,2
lower cost meats,Meat products,Meat Products,2
Tetramine,other snack items,Other Foods,2
sweet potato,rice,Grains and Grain Products,2
Counterfeit cocoa powder,Cocoa Powder,Other Foods,2
Palm kernel oil,Coconut oil,Oils and Fats,2
