location,count
"Southeast Asia, India",333
"North America, United States",312
"Western Europe, Italy; Western Europe, Switzerland; Eastern Europe, Romania; Eastern Europe, Moldova",255
"East Asia, China",195
"South America, Argentina",83
"Southern Africa, South Africa",67
"North America, United States; Southeast Asia, Indonesia; Southeast Asia, Thailand; North America, Canada; Oceania, New Zealand; Central America and the Caribbean, Nicaragua",56
"Southeast Asia, Taiwan",52
"Eastern Europe, Russia",45
"South America, Brazil",36
