adulterant,food_category,food_product,method,produced_location,year_begin,year_end
Cape Dory,Fish and Seafood Products,Rockcod,Substitution,unknown,2013,2014
Cape Dory,Fish and Seafood Products,Silver Steenbras,Substitution,unknown,2013,2014
Cape Dory,Fish and Seafood Products,White Steenbras,Substitution,unknown,2013,2014
Cape Dory,Fish and Seafood Products,Yellowtail,Substitution,unknown,2013,2014
Cape Dory,Fish and Seafood Products,Cape Salmon,Substitution,unknown,2013,2014
Cape Dory,Fish and Seafood Products,John Dory,Substitution,unknown,2013,2014
Cape Dory,Fish and Seafood Products,Red Roman,Substitution,unknown,2013,2014
Cape Gurnard,Fish and Seafood Products,Red Steenbras,Substitution,unknown,2013,2014
Cape Gurnard,Fish and Seafood Products,John Dory,Substitution,unknown,2013,2014
Cape Gurnard,Fish and Seafood Products,White Steenbras,Substitution,unknown,2013,2014
Cape Gurnard,Fish and Seafood Products,Yellowtail,Substitution,unknown,2013,2014
Cape Gurnard,Fish and Seafood Products,Silver Steenbras,Substitution,unknown,2013,2014
Cape Gurnard,Fish and Seafood Products,Rockcod,Substitution,unknown,2013,2014
Cape Gurnard,Fish and Seafood Products,Red Roman,Substitution,unknown,2013,2014
Cape Gurnard,Fish and Seafood Products,Cape Salmon,Substitution,unknown,2013,2014
Caramel Coloring,Alcoholic Beverages,alcoholic beverages,Counterfeit,"North America, United States",Unknown,2013
Cassia,Spices and Extracts,cinnamon,Dilution,"Southeast Asia, India",Unknown,2015
Cat Meat,Meat Products,Rabbit Meat,Substitution with a non-food-grade substance,"East Asia, China",2012,2013
Central American coffee beans,Coffee and Tea,Kona coffee beans,Mislabeling,"North America, United States; Central America and the Caribbean, Panama; Central America and the Caribbean",1987,1995
Chanodichthys mongolicus,Fish and Seafood Products,Portunus trituberculatus,Substitution,unknown,Unknown,2015
Chanodichthys mongolicus,Fish and Seafood Products,Pampus argenteus,Substitution,unknown,Unknown,2015
Chanodichthys mongolicus,Fish and Seafood Products,Cultrichthys erythropterus,Substitution,unknown,Unknown,2015
Chanodichthys mongolicus,Fish and Seafood Products,Paramisgurnus dabryanus,Substitution,unknown,Unknown,2015
Chanodichthys mongolicus,Fish and Seafood Products,Portunus pelagicus,Substitution,unknown,Unknown,2015
Chanodichthys mongolicus,Fish and Seafood Products,Rajidae species,Substitution,unknown,Unknown,2015
Chanodichthys mongolicus,Fish and Seafood Products,Scomberomorus commerson,Substitution,unknown,Unknown,2015
Chanodichthys mongolicus,Fish and Seafood Products,Larimichthys poly,Substitution,unknown,Unknown,2015
Chanodichthys mongolicus,Fish and Seafood Products,sleeve-fish,Substitution,unknown,Unknown,2015
Chicken blood,Meat Products,Duck blood,Substitution,"East Asia, China",2014,2014
Chilean salmon,Fish and Seafood Products,Norwegian salmon,Transshipment/Origin Masking,"North America, United States",2006,2012
Chinese Catfish,Fish and Seafood Products,Cambodian Catfish,Transshipment/Origin Masking,"East Asia, China",2009,2010
Chinese Garlic,Produce and Legumes,Bulgarian Garlic,Transshipment/Origin Masking,"East Asia, China",2001,2003
Chinese Garlic,Produce and Legumes,garlic,Transshipment/Origin Masking,"East Asia, China",2010,2011
Chinese Garlic,Produce and Legumes,garlic,Transshipment/Origin Masking,"East Asia, China",2003,2007
Chinese Salmon,Fish and Seafood Products,Russian Salmon,Transshipment/Origin Masking,"East Asia, China; Southeast Asia, Thailand; Southeast Asia, Malaysia; Southeast Asia, Indonesia",2010,2010
Chinese Salmon,Fish and Seafood Products,Shrimp from Panama,Transshipment/Origin Masking,"East Asia, China; Southeast Asia, Thailand; Southeast Asia, Malaysia; Southeast Asia, Indonesia",2010,2010
Chinese honey,Honey and Other Natural Sweeteners,Indonesian Honey,Transshipment/Origin Masking,"East Asia, China",2008,2012
Chinese honey,Honey and Other Natural Sweeteners,Canadian honey,Artificial Enhancement,"North America, Canada",2004,2004
Chinese honey,Honey and Other Natural Sweeteners,South Korean Honey,Transshipment/Origin Masking,"East Asia, China",2005,2005
Chinese honey,Honey and Other Natural Sweeteners,Philippine honey,Transshipment/Origin Masking,"East Asia, China",2005,2008
Chinese honey,Honey and Other Natural Sweeteners,Thai Honey,Transshipment/Origin Masking,"East Asia, China",2005,2008
Chinese honey,Honey and Other Natural Sweeteners,Latvian honey,Transshipment/Origin Masking,"East Asia, China",2014,2015
Chinese honey,Honey and Other Natural Sweeteners,Indian Honey,Transshipment/Origin Masking,"East Asia, China",2009,2012
Chinese honey,Honey and Other Natural Sweeteners,Malaysian Honey,Transshipment/Origin Masking,"East Asia, China",2009,2012
Chinese honey,Honey and Other Natural Sweeteners,honey,Transshipment/Origin Masking,"East Asia, China",2002,2009
Chinese honey,Honey and Other Natural Sweeteners,Vietnamese Honey,Transshipment/Origin Masking,"East Asia, China",2008,2012
Chinese honey,Honey and Other Natural Sweeteners,Thai Honey,Transshipment/Origin Masking,"East Asia, China",2008,2012
Chinese honey,Honey and Other Natural Sweeteners,Mongolian Honey,Transshipment/Origin Masking,"East Asia, China",2008,2012
Chinese honey,Honey and Other Natural Sweeteners,Malaysian Honey,Transshipment/Origin Masking,"East Asia, China",2008,2012
Chinese honey,Honey and Other Natural Sweeteners,Australian honey,Transshipment/Origin Masking,"East Asia, China",2001,2002
Chinese honey,Honey and Other Natural Sweeteners,Australian royal jelly,Transshipment/Origin Masking,"East Asia, China",2001,2002
Chinese honey,Honey and Other Natural Sweeteners,honey,Transshipment/Origin Masking,"East Asia, China",2001,2002
Chinese honey,Honey and Other Natural Sweeteners,royal jelly,Transshipment/Origin Masking,"East Asia, China",2001,2002
Chinese honey,Honey and Other Natural Sweeteners,honey,Transshipment/Origin Masking,"East Asia, China",2008,2012
Chinese potato,Grains and Grain Products,rice,Substitution with a non-food-grade substance,"East Asia, China",2015,2015
Chinese shrimp,Fish and Seafood Products,shrimp,Artificial Enhancement,"North America, United States; East Asia, China",1988,1992
Chinese tangerines,Produce and Legumes,Abkhazian tangerines,Transshipment/Origin Masking,"East Asia, China",2015,2015
Chinese-produced infant formula,Dairy Products,New Zealand-produced infant formula,Transshipment/Origin Masking,"East Asia, China",2012,2012
Ciprofloxacin,Honey and Other Natural Sweeteners,honey,Transshipment/Origin Masking,"East Asia, China",2002,2009
Ciprofloxacin,Honey and Other Natural Sweeteners,Thai Honey,Transshipment/Origin Masking,"East Asia, China",2005,2008
Ciprofloxacin,Honey and Other Natural Sweeteners,Philippine honey,Transshipment/Origin Masking,"East Asia, China",2005,2008
Clenbuterol,Meat Products,pork,Artificial Enhancement,"East Asia, China",Unknown,2006
Clenbuterol,Meat Products,pork,Artificial Enhancement,"East Asia, China",Unknown,2009
Clenbuterol,Meat Products,beef,Artificial Enhancement,Mexico,Unknown,2014
Clenbuterol,Meat Products,pork,Artificial Enhancement,"East Asia, China",2007,2011
Clenbuterol,Meat Products,beef,Artificial Enhancement,"North America, Mexico",Unknown,2010
Clenbuterol,Meat Products,Veal,Artificial Enhancement,"Western Europe, Italy",1997,1999
Cockspur grass,Other Foods,Chia Seed,Dilution,"South America, Argentina",Unknown,2009
Cocoa shells,Other Foods,Cocoa Powder,Dilution with with a non-food-grade substance,"North America, United States",Before 1980,Before 1980
Cocoa shells,Other Foods,cocoa,Dilution,"North America, United States",Before 1980,Before 1980
Cocoa shells,Other Foods,cocoa liquor,Dilution with with a non-food-grade substance,"North America, United States",Before 1980,Before 1980
Cocoa shells,Other Foods,Cocoa Powder,Dilution,"Eastern Europe, Poland",2010,2012
Copper complexes of chlorophylls and chlorophyllins,Oils and Fats,extra virgin olive oil,Dilution,"Western Europe, Spain",2005,2006
Coumaphos (organophosphate insecticide),Other Foods,Cassava Fritters,Terrorism,"Southeast Asia, Philippines",2005,2005
Counterfeit Jamaican Mountain Blue Coffee,Coffee and Tea,Jamaican Blue Mountain Coffee,Counterfeit,"Central America and the Caribbean, Jamaica",Unknown,2014
Counterfeit Red Bull,Other Beverages,Red Bull,Counterfeit,"East Asia, China",2012,2013
Counterfeit chocolate bars,Other Foods,Chocolate,Counterfeit,"Western Europe, United Kingdom",Unknown,2013
Counterfeit cocoa powder,Other Foods,Cocoa Powder,Counterfeit,"Eastern Europe, Russia",2009,2009
Counterfeit cocoa powder,Other Foods,Cocoa Powder,Counterfeit,"West Africa, Ghana",Unknown,2012
Counterfeit custard powder,Other Foods,Custard Powder,Counterfeit,"West Africa, Nigeria",2012,2013
Counterfeit oil,Oils and Fats,Edible oil,Counterfeit,"Southeast Asia, India",Unknown,2015
Counterfeit wine,Alcoholic Beverages,wine,Counterfeit,"North America, United States",2007,2012
Crimson Snapper,Fish and Seafood Products,Scarlet Snapper,Mislabeling,"North America, United States; Southeast Asia, Indonesia; Southeast Asia, Thailand; North America, Canada; Oceania, New Zealand; Central America and the Caribbean, Nicaragua",2012,2013
Crimson Snapper,Fish and Seafood Products,Crimson Snapper,Mislabeling,"North America, United States; Southeast Asia, Indonesia; Southeast Asia, Thailand; North America, Canada; Oceania, New Zealand; Central America and the Caribbean, Nicaragua",2012,2013
Crimson Snapper,Fish and Seafood Products,Lane Snapper,Mislabeling,"North America, United States; Southeast Asia, Indonesia; Southeast Asia, Thailand; North America, Canada; Oceania, New Zealand; Central America and the Caribbean, Nicaragua",2012,2013
Crimson Snapper,Fish and Seafood Products,Pacific Snapper,Mislabeling,"North America, United States; Southeast Asia, Indonesia; Southeast Asia, Thailand; North America, Canada; Oceania, New Zealand; Central America and the Caribbean, Nicaragua",2012,2013
Crimson Snapper,Fish and Seafood Products,Tai Snapper,Mislabeling,"North America, United States; Southeast Asia, Indonesia; Southeast Asia, Thailand; North America, Canada; Oceania, New Zealand; Central America and the Caribbean, Nicaragua",2012,2013
Crimson Snapper,Fish and Seafood Products,snapper,Mislabeling,"North America, United States; Southeast Asia, Indonesia; Southeast Asia, Thailand; North America, Canada; Oceania, New Zealand; Central America and the Caribbean, Nicaragua",2012,2013
Crimson Snapper,Fish and Seafood Products,Scarlet Red Snapper,Mislabeling,"North America, United States; Southeast Asia, Indonesia; Southeast Asia, Thailand; North America, Canada; Oceania, New Zealand; Central America and the Caribbean, Nicaragua",2012,2013
Cum (or Keta) Salmon,Fish and Seafood Products,Alaskan Salmon,Substitution,unknown,2013,2015
Cum (or Keta) Salmon,Fish and Seafood Products,Wild-caught salmon,Substitution,unknown,2013,2015
Cum (or Keta) Salmon,Fish and Seafood Products,Pacific Salmon,Substitution,unknown,2013,2015
Cum (or Keta) Salmon,Fish and Seafood Products,Chinook (or King) Salmon,Substitution,unknown,2013,2015
Cyanide,Produce and Legumes,Red Grapes,Terrorism,"South America, Chile",1989,1989
Cyanide,Other Foods,candies,Terrorism,"East Asia, Japan",1984,1985
Cynoscion virescenes [Common name Weakfish or Corvina],Fish and Seafood Products,Pseudoplastytoma fasciatum [Common name Surubim],Substitution,unknown,Unknown,2011
Damaged olives,Oils and Fats,extra virgin olive oil,Substitution,"Oceania, Australia",2010,2011
Dasyatis bennetti,Fish and Seafood Products,Cultrichthys erythropterus,Substitution,unknown,Unknown,2015
Dasyatis bennetti,Fish and Seafood Products,Larimichthys poly,Substitution,unknown,Unknown,2015
Dasyatis bennetti,Fish and Seafood Products,Pampus argenteus,Substitution,unknown,Unknown,2015
Dasyatis bennetti,Fish and Seafood Products,Paramisgurnus dabryanus,Substitution,unknown,Unknown,2015
Dasyatis bennetti,Fish and Seafood Products,Portunus pelagicus,Substitution,unknown,Unknown,2015
Dasyatis bennetti,Fish and Seafood Products,Portunus trituberculatus,Substitution,unknown,Unknown,2015
Dasyatis bennetti,Fish and Seafood Products,Rajidae species,Substitution,unknown,Unknown,2015
Dasyatis bennetti,Fish and Seafood Products,sleeve-fish,Substitution,unknown,Unknown,2015
Dasyatis bennetti,Fish and Seafood Products,Scomberomorus commerson,Substitution,unknown,Unknown,2015
Dogfish,Fish and Seafood Products,scientific name Mustelus mustelus and/or Mustelus asterias],Substitution,unknown,Unknown,2009
Dogfish,Fish and Seafood Products,Palombo [also known as Common Smooth-hound,Substitution,unknown,Unknown,2009
Dushuqiang,Other Foods,other snack items,Disgruntled Employee,"East Asia, China",2002,2002
Dushuqiang,Other Foods,fried dough sticks,Disgruntled Employee,"East Asia, China",2002,2002
Dushuqiang,Other Foods,sticky rice balls,Disgruntled Employee,"East Asia, China",2002,2002
Dushuqiang,Other Foods,other snack items,Disgruntled Employee,"East Asia, China",2002,2002
Dushuqiang,Other Foods,sesame cakes,Disgruntled Employee,"East Asia, China",2002,2002
Dusky Cob,Fish and Seafood Products,Rockcod,Substitution,unknown,2013,2014
Dusky Cob,Fish and Seafood Products,Cape Salmon,Substitution,unknown,2013,2014
Dusky Cob,Fish and Seafood Products,White Steenbras,Substitution,unknown,2013,2014
Dusky Cob,Fish and Seafood Products,Yellowtail,Substitution,unknown,2013,2014
Dusky Cob,Fish and Seafood Products,Red Roman,Substitution,unknown,2013,2014
Dusky Cob,Fish and Seafood Products,Silver Steenbras,Substitution,unknown,2013,2014
Dusky Cob,Fish and Seafood Products,Red Steenbras,Substitution,unknown,2013,2014
Dusky Cob,Fish and Seafood Products,John Dory,Substitution,unknown,2013,2014
E. coli,Meat Products,beef,Intentional Distribution of Contaminated Product,"North America, Canada",2010,2010
E. coli,Dairy Products,Cheese,Intentional Distribution of Contaminated Product,"North America, United States; North America, Mexico",2007,2007
E. coli,Meat Products,Halal-labeled meat products,Intentional Distribution of Contaminated Product,"North America, Canada",2010,2010
E. coli,Meat Products,lamb,Intentional Distribution of Contaminated Product,"North America, Canada",2010,2010
E141 Food Additive,Oils and Fats,extra virgin olive oil,Dilution,"Western Europe, Spain",2005,2006
Emperor Snapper,Fish and Seafood Products,Scarlet Snapper,Mislabeling,"North America, United States; Southeast Asia, Indonesia; Southeast Asia, Thailand; North America, Canada; Oceania, New Zealand; Central America and the Caribbean, Nicaragua",2012,2013
Emperor Snapper,Fish and Seafood Products,Crimson Snapper,Mislabeling,"North America, United States; Southeast Asia, Indonesia; Southeast Asia, Thailand; North America, Canada; Oceania, New Zealand; Central America and the Caribbean, Nicaragua",2012,2013
Emperor Snapper,Fish and Seafood Products,Lane Snapper,Mislabeling,"North America, United States; Southeast Asia, Indonesia; Southeast Asia, Thailand; North America, Canada; Oceania, New Zealand; Central America and the Caribbean, Nicaragua",2012,2013
Emperor Snapper,Fish and Seafood Products,Pacific Snapper,Mislabeling,"North America, United States; Southeast Asia, Indonesia; Southeast Asia, Thailand; North America, Canada; Oceania, New Zealand; Central America and the Caribbean, Nicaragua",2012,2013
Emperor Snapper,Fish and Seafood Products,Scarlet Red Snapper,Mislabeling,"North America, United States; Southeast Asia, Indonesia; Southeast Asia, Thailand; North America, Canada; Oceania, New Zealand; Central America and the Caribbean, Nicaragua",2012,2013
Emperor Snapper,Fish and Seafood Products,Tai Snapper,Mislabeling,"North America, United States; Southeast Asia, Indonesia; Southeast Asia, Thailand; North America, Canada; Oceania, New Zealand; Central America and the Caribbean, Nicaragua",2012,2013
Emperor Snapper,Fish and Seafood Products,snapper,Mislabeling,"North America, United States; Southeast Asia, Indonesia; Southeast Asia, Thailand; North America, Canada; Oceania, New Zealand; Central America and the Caribbean, Nicaragua",2012,2013
Expired Beef,Meat Products,chicken,Mislabeling,"East Asia, China",Unknown,2014
Expired Beef,Meat Products,beef,Mislabeling,"East Asia, China",Unknown,2014
Expired Chicken,Meat Products,chicken,Mislabeling,"East Asia, China",Unknown,2014
Expired Chicken,Meat Products,beef,Mislabeling,"East Asia, China",Unknown,2014
Expired Milk Powder,Dairy Products,infant formula,Dilution with with a non-food-grade substance,"Western Europe, Netherlands",2012,2013
Expired Milk Powder,Other Beverages,Milk Tea,Artificial Enhancement,"East Asia, China",Unknown,2013
Expired Milk Powder,Other Beverages,Milk Powder,Artificial Enhancement,"East Asia, China",Unknown,2013
Expired duck meat,Meat Products,Duck meat,Mislabeling,"East Asia, China",2011,2011
Expired products,Other Foods,canned foods,Theft and Resale,"South America, Colombia",Unknown,2014
Expired products,Other Foods,ketchup,Theft and Resale,"South America, Colombia",Unknown,2014
Expired products,Other Foods,tea,Theft and Resale,"South America, Colombia",Unknown,2014
Expired products,Other Foods,tea,Theft and Resale,"South America, Colombia",Unknown,2014
Expired products,Other Foods,Spices,Theft and Resale,"South America, Colombia",Unknown,2014
Expired products,Other Foods,milk,Theft and Resale,"South America, Colombia",Unknown,2014
Expired products,Other Foods,Fish,Theft and Resale,"South America, Colombia",Unknown,2014
Expired products,Other Foods,coffee,Theft and Resale,"South America, Colombia",Unknown,2014
Expired products,Other Foods,cereal,Theft and Resale,"South America, Colombia",Unknown,2014
Expired smoked sausage,Meat Products,Smoked Sausage,Mislabeling,"Eastern Europe, Russia",Unknown,2015
FD&C Red No. 3,Other Foods,Concha Blancas,Artificial Enhancement,"North America, United States",2011,2014
FD&C Red No. 3,Other Foods,Concha Yellow and Concha Pink bakery products,Artificial Enhancement,"North America, United States",2011,2014
FD&C Red No. 40,Other Foods,Concha Blancas,Artificial Enhancement,"North America, United States",2011,2014
FD&C Red No. 40,Other Foods,Concha Yellow and Concha Pink bakery products,Artificial Enhancement,"North America, United States",2011,2014
FD&C Red No. 40,Dairy Products,ice cream,Mislabeling,"North America, United States",Unknown,2014
FD&C Yellow No. 5,Other Foods,Concha Blancas,Artificial Enhancement,"North America, United States",2011,2014
FD&C Yellow No. 5,Dairy Products,ice cream,Mislabeling,"North America, United States",Unknown,2014
FD&C Yellow No. 5,Other Foods,Concha Yellow and Concha Pink bakery products,Artificial Enhancement,"North America, United States",2011,2014
FD&C Yellow No. 6,Other Foods,Concha Yellow and Concha Pink bakery products,Artificial Enhancement,"North America, United States",2011,2014
FD&C Yellow No. 6,Other Foods,Concha Blancas,Artificial Enhancement,"North America, United States",2011,2014
Farm-raised salmon,Fish and Seafood Products,Chinook (or King) Salmon,Substitution,unknown,2013,2015
Farm-raised salmon,Fish and Seafood Products,Alaskan Salmon,Substitution,unknown,2013,2015
Farm-raised salmon,Fish and Seafood Products,Pacific Salmon,Substitution,unknown,2013,2015
Farm-raised salmon,Fish and Seafood Products,Wild-caught salmon,Substitution,unknown,2013,2015
Fish,Fish and Seafood Products,cod,Substitution,"Western Europe, Scotland",Unknown,2013
Fish,Fish and Seafood Products,Fish,Substitution,"Western Europe, Scotland",Unknown,2013
Fish,Fish and Seafood Products,halibut,Substitution,"Western Europe, Scotland",Unknown,2013
Fish,Fish and Seafood Products,monkfish,Substitution,"Western Europe, Scotland",Unknown,2013
Fish,Fish and Seafood Products,sea bass,Substitution,"Western Europe, Scotland",Unknown,2013
Fish,Fish and Seafood Products,Sea Bream,Substitution,"Western Europe, Scotland",Unknown,2013
Fish,Fish and Seafood Products,Smoked Haddock,Substitution,"Western Europe, Scotland",Unknown,2013
Flavoring Agents,Oils and Fats,Peanut Oil Products,Dilution,"Southeast Asia, Taiwan",2009,2013
Flavoring Agents,Oils and Fats,Sesame oil,Dilution,"Southeast Asia, Taiwan",2009,2013
Formalin,Fish and Seafood Products,mackerel,Artificial Enhancement,"Southeast Asia, India",2012,2013
Formalin,Fish and Seafood Products,pomfret,Artificial Enhancement,"Southeast Asia, India",2012,2013
Formalin,Fish and Seafood Products,ice,Artificial Enhancement,"Southeast Asia, India",2012,2013
Formalin,Fish and Seafood Products,and bengal carp,Artificial Enhancement,"Southeast Asia, India",2012,2013
Formalin,Dairy Products,milk,Dilution with with a non-food-grade substance,"Southeast Asia, India",2015,2015
Formalin,Fish and Seafood Products,ray fish,Artificial Enhancement,"Southeast Asia, India",2012,2013
Formalin,Fish and Seafood Products,red snapper,Artificial Enhancement,"Southeast Asia, India",2012,2013
Formalin,Fish and Seafood Products,sardine,Artificial Enhancement,"Southeast Asia, India",2012,2013
Formalin,Alcoholic Beverages,alcoholic beverages,Dilution with with a non-food-grade substance,"East Africa, Kenya",Unknown,2012
Formalin,Fish and Seafood Products,seer fish,Artificial Enhancement,"Southeast Asia, India",2012,2013
Formalin,Fish and Seafood Products,tuna,Artificial Enhancement,"Southeast Asia, India",2012,2013
Formalin,Fish and Seafood Products,Vietnamese Catfish,Artificial Enhancement,"Southeast Asia, India",2010,2011
Formalin,Fish and Seafood Products,basa,Artificial Enhancement,"Southeast Asia, India",2010,2011
Formalin,Fish and Seafood Products,Pangasius,Artificial Enhancement,"Southeast Asia, India",2010,2011
Formalin,Fish and Seafood Products,dried fish,Artificial Enhancement,"Southeast Asia, Bangladesh",Unknown,2015
Fox,Meat Products,Mutton,Substitution with a non-food-grade substance,"East Asia, China",Unknown,2013
Fox,Meat Products,lamb,Substitution with a non-food-grade substance,"East Asia, China",Unknown,2013
Fox Meat,Meat Products,Donkey Meat,Dilution,"East Asia, China",Unknown,2014
