adulterant,food_category,food_product,method,produced_location,year_begin,year_end
6-benzyladenine,Produce and Legumes,Bean Sprouts,Artificial Enhancement,"East Asia, China",Unknown,2011
Acrolein,Oils and Fats,olive oil,Dilution with with a non-food-grade substance,"Middle East, Lebanon",Unknown,Unknown
Alopias superciliosus [Shark,Fish and Seafood Products,Palombo [also known as Common Smooth-hound,Substitution,unknown,Unknown,2009
Alopias superciliosus [Shark,Fish and Seafood Products,scientific name Mustelus mustelus and/or Mustelus asterias],Substitution,unknown,Unknown,2009
American Caviar,Fish and Seafood Products,Iranian Caviar,Transshipment/Origin Masking,"Eastern Europe, Russia; Middle East, Iran",1984,1987
American Caviar,Fish and Seafood Products,Russian Caviar,Transshipment/Origin Masking,"Eastern Europe, Russia; Middle East, Iran",1984,1987
Animal Feed Oil,Oils and Fats,Lard Oil,Dilution with with a non-food-grade substance,"Southeast Asia, Taiwan",2014,2014
Animal-by-product,Meat Products,Meat,Substitution with a non-food-grade substance,unknown,Unknown,2005
Antiretroviral Drugs (ARVs),Alcoholic Beverages,alcoholic beverages,Dilution with with a non-food-grade substance,"East Africa, Kenya",Unknown,2012
Argentine honey,Honey and Other Natural Sweeteners,Scottish honey,Transshipment/Origin Masking,"Western Europe, Scotland",Unknown,2004
Argentine pepper weed,Other Foods,Chia Seed,Dilution,"South America, Argentina",Unknown,2009
Argentinean sunflower-seed oil,Oils and Fats,Italian olive oil,Transshipment/Origin Masking,"South America, Argentina; Middle East, Turkey",1991,1993
Artificial colors,"Oils and Fats, Spices and Extracts",oil,Artificial Enhancement,"Southeast Asia, India",Unknown,2015
Artificial colors,Grains and Grain Products,green gram,Artificial Enhancement,"Southeast Asia, India",2006,2015
Artificial colors,"Oils and Fats, Spices and Extracts",Spices,Artificial Enhancement,"Southeast Asia, India",Unknown,2015
Artificial colors,Grains and Grain Products,Bengal gram,Artificial Enhancement,"Southeast Asia, India",2006,2015
Artificial colors,Fish and Seafood Products,dried fish,Artificial Enhancement,"Southeast Asia, Bangladesh",Unknown,2015
Asian Catfish,Fish and Seafood Products,grouper,Substitution,unknown,Unknown,2015
Avocado Oil,Oils and Fats,olive oil,Substitution,"Western Europe, Spain",2011,2012
Bacon,Meat Products,Ground Pork,Mislabeling,"North America, United States",Unknown,2012
Bastard sole,Fish and Seafood Products,Common Sole,Substitution,unknown,Unknown,2011
Bearded Brotula,Fish and Seafood Products,grouper,Mislabeling,"North America, Mexico; South America, Ecuador; Central America and the Caribbean, Panama; Southeast Asia, Indonesia",2012,2012
Bearded Brotula,Fish and Seafood Products,Black Grouper,Mislabeling,"North America, Mexico; South America, Ecuador; Central America and the Caribbean, Panama; Southeast Asia, Indonesia",2012,2012
Bearded Brotula (Cuskeel),Fish and Seafood Products,Black Grouper,Mislabeling,"North America, Mexico; South America, Ecuador; Central America and the Caribbean, Panama; Southeast Asia, Indonesia",2012,2012
Bearded Brotula (Cuskeel),Fish and Seafood Products,grouper,Mislabeling,"North America, Mexico; South America, Ecuador; Central America and the Caribbean, Panama; Southeast Asia, Indonesia",2012,2012
Beef,Meat Products,lamb,Mislabeling,"Western Europe, Scotland; Western Europe, United Kingdom",Unknown,2015
Beef,Meat Products,lamb,Dilution,"Western Europe, United Kingdom",Unknown,2014
Beef,Meat Products,Lamb curry,Dilution,"Western Europe, United Kingdom",Unknown,2014
Beef,Meat Products,black pudding,Dilution,unknown,2014,2015
Beef,Meat Products,lamb,Dilution,"Southeast Asia, Taiwan",Unknown,2014
Beef,Meat Products,ground lamb,Dilution,"Western Europe, United Kingdom",Unknown,2014
Beef,Meat Products,Kebab,Dilution,"Western Europe, United Kingdom",Unknown,2014
Beef,Meat Products,lamb,Dilution,"Western Europe, Scotland",Unknown,2013
Beef,Meat Products,Game Meats,Substitution,"Southern Africa, South Africa",Unknown,2013
Beef,Meat Products,pork,Mislabeling,"North America, United States",2014,2015
Beef,Meat Products,chicken,Mislabeling,"North America, United States",2014,2015
Beef,Meat Products,beef,Mislabeling,"North America, United States",2014,2015
Beef,Meat Products,Kobe Beef,Mislabeling,"East Asia, China",Unknown,2013
Beef,Meat Products,sliced lamb,Dilution,unknown,2014,2015
Beef,Meat Products,minced steak,Dilution,unknown,2014,2015
Beef,Meat Products,lamb burgers,Dilution,unknown,2014,2015
Beef,Meat Products,Yak,Dilution,"Oceania, Australia; North America, United States; North America, Canada",Unknown,2015
Beef,Meat Products,lamb,Dilution,"Oceania, Australia; North America, United States; North America, Canada",Unknown,2015
Beef,Meat Products,Kangaroo,Dilution,"Oceania, Australia; North America, United States; North America, Canada",Unknown,2015
Beef,Meat Products,Black bear,Dilution,"Oceania, Australia; North America, United States; North America, Canada",Unknown,2015
Beef,Meat Products,Bison,Dilution,"Oceania, Australia; North America, United States; North America, Canada",Unknown,2015
Beef,Meat Products,goat meet,Dilution,unknown,2014,2015
Beef Jerky,Meat Products,Ground Pork,Mislabeling,"North America, United States",Unknown,2012
Beef from unhealthy cattle,Meat Products,beef,Intentional Distribution of Contaminated Product,"North America, United States",2012,2014
Beef from unhealthy cattle,Meat Products,Whole beef carcass,Intentional Distribution of Contaminated Product,"North America, United States",2012,2014
Beef from unhealthy cattle,Meat Products,Hot pockets,Intentional Distribution of Contaminated Product,"North America, United States",2012,2014
Beef unfit for human consumption,Meat Products,Whole beef carcass,Intentional Distribution of Contaminated Product,"North America, United States",2012,2014
Beef unfit for human consumption,Meat Products,Hot pockets,Intentional Distribution of Contaminated Product,"North America, United States",2012,2014
Beef unfit for human consumption,Meat Products,beef,Intentional Distribution of Contaminated Product,"North America, United States",2012,2014
Beluga Caviar,Fish and Seafood Products,Osetra Caviar,Mislabeling,"Eastern Europe, Poland",1997,1999
Benzo(a)pyrene (BaP),Oils and Fats,olive pomace oil,Dilution,"Western Europe, Italy; Western Europe, Greece",2000,2001
Benzo(a)pyrene (BaP),Oils and Fats,olive oil,Dilution with with a non-food-grade substance,"Middle East, Lebanon",Unknown,Unknown
Bigeye thresher shark,Fish and Seafood Products,Palombo [also known as Common Smooth-hound,Substitution,unknown,Unknown,2009
Bigeye thresher shark,Fish and Seafood Products,scientific name Mustelus mustelus and/or Mustelus asterias],Substitution,unknown,Unknown,2009
Bighead carp [Hypophthalmichthys nobilis],Fish and Seafood Products,Milkfish [Chanos Chanos],Dilution,"Southeast Asia, Taiwan",Unknown,2009
Bishop Flower,Other Foods,Chia Seed,Dilution,"South America, Argentina",Unknown,2009
Bisnaga,Other Foods,Chia Seed,Dilution,"South America, Argentina",Unknown,2009
Black Leaf 40,Meat Products,ground beef,Disgruntled Employee,"North America, United States",2003,2003
Brachyplatystoma platynemum [Common name Slobbering Catfish],Fish and Seafood Products,Pseudoplastytoma fasciatum [Common name Surubim],Substitution,unknown,Unknown,2011
CSR 30 rice,Grains and Grain Products,basmati rice,Dilution,"Southeast Asia, India",2000,2007
Cape,Fish and Seafood Products,scientific name Mustelus mustelus and/or Mustelus asterias],Substitution,unknown,Unknown,2009
Cape,Fish and Seafood Products,Palombo [also known as Common Smooth-hound,Substitution,unknown,Unknown,2009
Cape Dory,Fish and Seafood Products,Red Steenbras,Substitution,unknown,2013,2014
