product,count
food supplement,509
swordfish,363
dried apricot,173
palm oil,104
soy sauce,77
carbonated soft drink,72
olive- residue oil,66
spices,63
dried seaweed,63
chilli powder,44
smoked sprats,40
roasted chickpeas,36
slimming coffee,35
curry powder,33
noodle,28
frozen blue shark (prionace glauca),28
dried algae,27
frozen shrimps,26
live crabs (cancer pagurus),24
crabs (cancer pagurus),23
algae,23
chewing gum,23
sugar coated fennel seed,23
frozen prawns,22
chilled swordfish,21
cooked prawns (penaeus vannamei),20
mineral water,19
frozen swordfish fillets,19
jelly mini cups,18
squid - frozen,18
calabash chalk,17
orange drink,17
tuna,16
cod liver,16
chilled tuna,15
red palm oil,15
seaweed,15
frozen squid,15
herbal supplement,15
paprika powder,15
energy drink,14
dried pitted prunes,14
smoked swordfish (xiphias gladius),14
hot paprika powder,14
poppy seed,14
hot chilli powder,14
sweet paprika powder,14
smoked fish,13
wine,12
sauce,12
green tea,12
red chilli powder,12
frozen norway lobster (nephrops norvegicus),12
swordfish loins (xiphias gladius),12
candy,12
flavoured soft drink,11
soya sauce,11
frozen octopus,11
tuna (thunnus albacares),11
sumac,11
swordfish - frozen,11
chilled swordfish fillets (xiphias gladius),11
instant noodle,10
apricot jam,10
pure palm oil,10
frozen cuttlefish,10
sausage,10
sweets,10
tandoori masala,10
egg noodle,9
refined sunflower oil,9
fresh spinach,9
strawberry jam,9
cooked chilled prawns,9
fresh tuna loin (thunnus albacares),9
e 331 - trisodium citrate,9
organic eggs,9
olive oil,9
chilled tuna fillets (thunnus albacares),9
food supplement containing caffeine,9
cake decoration,8
frozen sliced swordfish (xiphias gladius),8
ground chilli,8
dried pear,8
creamy candies,8
dried raisins,8
bitter apricot kernels,8
spinach,8
grapefruit seed extract,8
lollipop,8
salami,8
zomi palm oil,8
root beer,7
red wine,7
cuttlefish,7
suffocation risk as a result of the consumption of fruit jelly cups,7
dried prunes,7
frozen crab,7
octopus - canned,7
frozen shortfin mako (isurus oxyrinchus),7
frozen mako shark (isurus oxyrinchus),7
vodka,7
pink cusk-eel (genypterus blacodes),7
frozen squid (illex argentinus),7
sprats in oil,7
eddoes,7
green coffee,7
pickled vegetable,7
seasoning,7
white roasted chickpeas,6
cooked shrimps (penaeus vannamei),6
tuna loins (thunnus albacares),6
frozen yellowfin tuna loins (thunnus albacares),6
bottled drinking water,6
dried tomatoes,6
shortfin mako (isurus oxyrinchus),6
dried chilli powder,6
jelly cups,6
mango nectar,6
smoked swordfish,6
cooked tropical prawns (penaeus vannamei),6
frozen whole cuttlefish,6
roasted seaweed,6
chilled plaice fillets,6
sardines in vegetable oil,6
frozen shortfin mako shark (isurus oxyrinchus),6
fish oil capsules,6
cayenne pepper,6
frozen swordfish steak,6
sunflower oil,6
precooked shrimps (penaeus vannamei),6
carrots,6
frozen shrimps (parapenaeus longirostris),6
pickles,6
horse meat,6
jelly sweets,6
bottled water,5
marlin,5
chilled crabs (cancer pagurus),5
grill spices,5
