adulterant,product,category,instances
androstenedione,food supplement,"dietetic foods, food supplements, fortified foods",4
sulphite,precooked tropical prawns (penaeus vannamei),crustaceans and products thereof,4
arsenic,mineral water,natural mineral water,4
cadmium,canned sardines,fish and fish products,4
arsenic,herbal supplement,"dietetic foods, food supplements, fortified foods",4
dioxins,fish oil capsules,"dietetic foods, food supplements, fortified foods",4
"3-monochlor-1,2-propanediol",fish sauce,"soups, broths, sauces and condiments",4
vitamin a,food supplement,"dietetic foods, food supplements, fortified foods",4
sulphite,sweet apricot kernels,fruits and vegetables,4
mercury,shark,fish and fish products,4
colour sudan 1,sweet pepper,herbs and spices,4
benzo(a)pyrene,refined sunflower oil,fats and oils,4
peroxide,porcine lard,fats and oils,4
benzo(a)pyrene,non-refined soybean oil,fats and oils,4
colour sudan 1,worcester sauce,"soups, broths, sauces and condiments",4
mercury,frozen blue shark steak,fish and fish products,4
dioxins,lamb liver,meat and meat products (other than poultry),4
benzethonium chloride,grapefruit seed extract,"dietetic foods, food supplements, fortified foods",4
mercury,tuna,fish and fish products,4
sulphite,frozen prawns (penaeus vannamei),crustaceans and products thereof,4
colour sudan 4,sumac,herbs and spices,4
aluminium,glass noodle,cereals and bakery products,4
sulphite,chilled cooked shrimps (penaeus vannamei),crustaceans and products thereof,4
mercury,frozen sliced swordfish,fish and fish products,4
benzo(a)pyrene,crude soybean oil,fats and oils,4
benzo(a)pyrene,canned sprats in oil,fish and fish products,4
cadmium,whole live crab (cancer pagurus),crustaceans and products thereof,4
colour sudan 1,chilli sauce,"soups, broths, sauces and condiments",4
sodium nitrite,smoked salmon,fish and fish products,4
sulphite,candied pears,fruits and vegetables,4
sulphite,golden raisins,fruits and vegetables,4
erucic acid,mango pickle,"soups, broths, sauces and condiments",4
benzalkonium chloride,grapefruit seed extract,"dietetic foods, food supplements, fortified foods",4
benzo(a)pyrene,unrefined sunflower oil,fats and oils,4
sorbic acid,dried prunes,fruits and vegetables,4
benzene,carbonated soft drink,non-alcoholic beverages,4
iodine,dried sea algae,fruits and vegetables,4
mercury,frozen swordfish steak (xiphias gladius),fish and fish products,4
lithium,food supplement,"dietetic foods, food supplements, fortified foods",4
benzo(a)pyrene,sprat paste,fish and fish products,4
sulphite,chilled cooked shrimps,crustaceans and products thereof,4
erucic acid,mustard oil,fats and oils,4
tin,canned pineapple slices,fruits and vegetables,4
mercury,vacuum packed swordfish fillets (xiphias gladius),fish and fish products,4
aluminium,quick cooking noodle,cereals and bakery products,4
benzoic acid,orange flavour soft drink,non-alcoholic beverages,4
"tin, nickel",food supplement,"dietetic foods, food supplements, fortified foods",4
nitrate,spinach,fruits and vegetables,4
arsenic,zam zam water,water for human consumption (other),4
chromium,carbonated natural mineral water,natural mineral water,4
cadmium,frozen spinach,fruits and vegetables,4
food additive propylene oxide,shelled almonds,"nuts, nut products and seeds",3
sulphite,frozen shrimps (litopenaeus vannamei),crustaceans and products thereof,3
mercury,chilled vacuum packed swordfish loins (xiphias gladius),fish and fish products,3
sulphite,sour white cabbage,fruits and vegetables,3
mercury,chilled vacuum packed swordfish (xiphias gladius),fish and fish products,3
benzo(a)pyrene,pumpkin seed oil,fats and oils,3
iodine,algae,fruits and vegetables,3
arsenic,roasted seaweed,fruits and vegetables,3
sulphite,sun dried tomatoes,fruits and vegetables,3
sulphite,cooked prawns,crustaceans and products thereof,3
lead,candy,confectionery,3
benzoic acid,energy drink,non-alcoholic beverages,3
sorbic acid,dried black prunes,fruits and vegetables,3
sulphite,cooked frozen prawns,crustaceans and products thereof,3
cadmium,canned sardines (sardina pilchardus),fish and fish products,3
cadmium,carrots,fruits and vegetables,3
cadmium,chilled horse meat,meat and meat products (other than poultry),3
lead,migration of lead,food contact materials,3
iodine,food supplement tablets with seaweed,"dietetic foods, food supplements, fortified foods",3
colour sudan 1,hot sauce,"soups, broths, sauces and condiments",3
sibutramine,slimming capsules,"dietetic foods, food supplements, fortified foods",3
mercury,chilled tuna fillets (thunnus albacares),fish and fish products,3
sulphite,precooked shrimps,crustaceans and products thereof,3
progesterone,food supplement,"dietetic foods, food supplements, fortified foods",3
sulphite,frozen cooked shrimps (penaeus vannamei),crustaceans and products thereof,3
benzo(a)pyrene,smoked shrimps,crustaceans and products thereof,3
mercury,chilled sea bream (dentex dentex),fish and fish products,3
benzoic acid,noni juice,non-alcoholic beverages,3
colour rhodamine b,dried chilli powder,herbs and spices,3
residue level above mrl for copper,vine leaves,fruits and vegetables,3
azorubine,fresh grouper fillets (epinephelus sp),fish and fish products,3
mercury,blue shark,fish and fish products,3
sulphite,dried candied fruit mix,fruits and vegetables,3
benzo(a)pyrene,evening primrose oil capsules,"dietetic foods, food supplements, fortified foods",3
sulphite,frozen cooked shrimps,crustaceans and products thereof,3
mercury,chilled loins of swordfish,fish and fish products,3
lead,herbal supplement,"dietetic foods, food supplements, fortified foods",3
colour rhodamine b,sugar coated fennel seed,confectionery,3
benzoic acid,guarana soft drink,non-alcoholic beverages,3
benzo(a)pyrene,"non-carbonated, fluoride added baby water",water for human consumption (other),3
sulphite,pickled garlic,fruits and vegetables,3
sodium nitrate,chilled tuna,fish and fish products,3
lead,carrots,fruits and vegetables,3
colour sudan 1,pepper sauce,"soups, broths, sauces and condiments",3
propylene glycol,bakery product,cereals and bakery products,3
propyl p-hydroxybenzoate,food supplement,"dietetic foods, food supplements, fortified foods",3
sulphite,shrimps (penaeus vannamei),crustaceans and products thereof,3
sulphite,fresh lychees,fruits and vegetables,3
sulphite,dried apple rings,fruits and vegetables,3
boron citrate,food supplement,"dietetic foods, food supplements, fortified foods",3
benzoic acid,frozen liquor,alcoholic beverages,3
mercury,sliced frozen swordfish,fish and fish products,3
colour,candy,confectionery,3
diphosphate,chilled sea scallops,bivalve molluscs and products thereof,3
non-dioxin-like polychlorobifenyls,chilled dogfish (squalus acanthias),fish and fish products,3
mercury,herbal supplement,"dietetic foods, food supplements, fortified foods",3
cadmium,frozen prawns (metapenaeus endeavouri),crustaceans and products thereof,3
mercury,frozen mora moro,fish and fish products,3
novel food ingredient betaine,food supplement,"dietetic foods, food supplements, fortified foods",3
agar,jelly cups,confectionery,3
novel food ingredient epimedium,food supplement,"dietetic foods, food supplements, fortified foods",3
sunset yellow fcf,orange drink,non-alcoholic beverages,3
cadmium,frozen octopus,molluscs and products thereof - (obsolete),3
cadmium,frozen mussels (mytilus chilensis),bivalve molluscs and products thereof,3
tin,canned spaghetti in tomato sauce,food contact materials,3
erythrosine,jelly sweets,confectionery,3
cadmium,mussels - frozen,molluscs and products thereof - (obsolete),3
titanium dioxide,chickpeas roasted,fruits and vegetables,3
titanium dioxide,natural roasted chickpeas,fruits and vegetables,3
mercury,frozen mako shark (isurus glaucus),fish and fish products,3
cadmium,frozen cuttlefish (sepia spp),molluscs and products thereof - (obsolete),3
mercury,tuna - chilled,wild caught fish and products thereof (other than crustaceans and molluscs) - (obsolete),3
cadmium,frozen cooked mussels,bivalve molluscs and products thereof,3
mercury,swordfish steaks (xiphias gladius),fish and fish products,3
mercury,swordfish steaks,fish and fish products,3
methanol,vodka,alcoholic beverages,3
methylsulphonylmethane,food supplement,"dietetic foods, food supplements, fortified foods",3
cadmium,squid,molluscs and products thereof - (obsolete),3
colour sudan 4,pure zomi palm oil,fats and oils,3
aluminium,algae,other food product / mixed,3
mercury,frozen swordfish (xiphias gladius) fillets,fish and fish products,3
tartrazine,tandoori masala,herbs and spices,3
calcium disodium ethylene diamine tetra acetate,orange drink,non-alcoholic beverages,3
cadmium,frozen whole round cuttlefish (sepia pharaonis),cephalopods and products thereof,3
mercury,frozen slices of swordfish (xiphias gladius),fish and fish products,3
mercury,frozen slices of swordfish,fish and fish products,3
aluminium,dried noodle,cereals and bakery products,3
sulphite,whole pitted dried apricot,fruits and vegetables,3
tartrazine,pickled radish,fruits and vegetables,3
monoethylene glycol,wine,wine,3
monoethylene glycol,red wine,wine,3
tetrahydrocannabinol,food supplement,"dietetic foods, food supplements, fortified foods",3
carrageenan,jelly cups,confectionery,3
ephedrine,food supplement,"dietetic foods, food supplements, fortified foods",3
mercury,frozen sliced blue shark (prionace glauca),fish and fish products,3
tartrazine,instant noodle snack,cereals and bakery products,3
chemical contamination,risk of chemical contamination (aluminium phosphide) of brown beans,fruits and vegetables,3
aluminium,instant noodle,prepared dishes and snacks,3
cadmium,frozen squid (loligo spp),cephalopods and products thereof,3
tartrazine,egg noodle,cereals and bakery products,3
phosphate,chilled plaice fillets,fish and fish products,3
mercury,mako shark (isurus glaucus),fish and fish products,3
mercury,sliced frozen blue shark (prionace glauca),fish and fish products,3
annato/bixin/norbixin,curry powder,herbs and spices,3
cadmium,spinach,fruits and vegetables,3
erythrosine,sugar coated fennel seed,"nuts, nut products and seeds",3
polycyclic aromatic hydrocarbons,olive- residue oil,fats and oils,3
mercury,swordfish,wild caught fish and products thereof (other than crustaceans and molluscs) - (obsolete),3
mercury,frozen blue shark (prionace glauca) fillets,fish and fish products,3
erythrosine,sugar coated fennel seed,confectionery,3
cadmium,cuttlefish skewer,molluscs and products thereof - (obsolete),3
polyphosphates,chilled plaice fillets,fish and fish products,3
colour sudan 1,turmeric powder (haldi),herbs and spices,3
colour sudan 1,turmeric powder,herbs and spices,3
sulphite,wine,alcoholic beverages,3
mercury,swordfish fillets,fish and fish products,3
polyphosphates,chilled sole (solea vulgaris),fish and fish products,3
dimethylsildenafil,food supplement,"dietetic foods, food supplements, fortified foods",3
cadmium,sardines in tomato sauce,fish and fish products,3
mineral oil,dried raisins,fruits and vegetables,2
lead,white beans,fruits and vegetables,2
caffeine,guarana jelly mints,confectionery,2
lead,walnut kernels,"nuts, nut products and seeds",2
lead,tea - flavoured,"cocoa and cocoa preparations, coffee and tea",2
colour sudan 1,grill spices,herbs and spices,2
sulphite,dried figs,fruits and vegetables,2
cadmium,scallops (pecten maximus),bivalve molluscs and products thereof,2
lead,silica and zinc capsules,"dietetic foods, food supplements, fortified foods",2
sulphite,canned mushrooms,fruits and vegetables,2
microbiological contamination,10 l container of zam zam water,water for human consumption (other),2
cadmium,seasoned anchovy (stolephorus indicus),fish and fish products,2
sulphite,canned coconut milk,"nuts, nut products and seeds",2
caffeine,food supplement,"dietetic foods, food supplements, fortified foods",2
benzo(a)pyrene,pumpkinseed oil,fats and oils,2
mineral oil,sauce with sunflower oil,"soups, broths, sauces and condiments",2
mercury,frozen velvet belly lantern shark (etmopterus spinax),fish and fish products,2
mercury,greater amberjack (seriola dumerili),fish and fish products,2
mercury,sliced dogfish,fish and fish products,2
mercury,swordfish fillets with skin (xiphias gladius),fish and fish products,2
benzoic acid,and risk of overdosage with nicotinic acid (14.63 mg/100ml),non-alcoholic beverages,2
sulphite,apricot stones,fruits and vegetables,2
mercury,frozen swordfish slices,fish and fish products,2
melamine,chocolate snack,cereals and bakery products,2
mercury,sliced smoked swordfish,fish and fish products,2
colour sudan 1,crushed hot chilli pepper,herbs and spices,2
mercury,sliced smoked swordfish (xiphias gladius),fish and fish products,2
sulphite,dried strawberries,fruits and vegetables,2
benzoic acid,chocolate syrup,confectionery,2
sorbic acid,pitted prunes,fruits and vegetables,2
morphine,ground poppy seed,"nuts, nut products and seeds",2
morphine,blue poppy seed,"nuts, nut products and seeds",2
mercury,sliced swordfish,fish and fish products,2
sulphite,dried pitted prunes,fruits and vegetables,2
sorbic acid,sour cabbage,fruits and vegetables,2
benzo(a)pyrene,pumpkin oil,fats and oils,2
sorbic acid,strawberry jam,confectionery,2
benzo(a)pyrene,organic rapeseed oil,fats and oils,2
melamine,ammonium bicarbonate,food additives and flavourings,2
benzo(a)pyrene,peeled sesame,"nuts, nut products and seeds",2
mercury,slices of frozen mako shark (isurus spp.),fish and fish products,2
mercury,frozen swordfish slices (xiphias gladius),fish and fish products,2
sulphite,dried peaches,fruits and vegetables,2
sulphite,dried papaya,fruits and vegetables,2
methanol,wodka,alcoholic beverages,2
sulphite,apricot,fruits and vegetables,2
molybdenum amino acid chelate,food supplement,"dietetic foods, food supplements, fortified foods",2
cadmium,live mussels (modiola barbata),bivalve molluscs and products thereof,2
cadmium,shrimps (penaeus spp),crustaceans and products thereof,2
sulphite,chilled cooked prawns,crustaceans and products thereof,2
mercury,porbeagle (isurus oxyrhinchus),fish and fish products,2
colour sudan 1,hot ground chilli,herbs and spices,2
sulphite,cooked prawns (panaeus vannamei),crustaceans and products thereof,2
cadmium,oat flakes,cereals and bakery products,2
mercury,swordfish fillet (xiphias gladius),fish and fish products,2
sulphite,cooked shrimps,crustaceans and products thereof,2
cadmium,octopus,molluscs and products thereof - (obsolete),2
sulphite,cooked tropical prawns,crustaceans and products thereof,2
mercury,tuna steaks (thunnus albacares),fish and fish products,2
cadmium,squid - canned,molluscs and products thereof - (obsolete),2
mercury,tuna - frozen yellowfin (thunnus albacares),wild caught fish and products thereof (other than crustaceans and molluscs) - (obsolete),2
cadmium,parsnip,fruits and vegetables,2
sulphite,dehydrated carrot,fruits and vegetables,2
mercury,marlin,fish and fish products,2
mercury,swordfish fillets (xiphias gladius),fish and fish products,2
benzo(a)pyrene,sea buckthorn seed oil,"dietetic foods, food supplements, fortified foods",2
colour sudan 1,masala spice,herbs and spices,2
sulphite,dried and candied fruit mix,fruits and vegetables,2
benzo(a)pyrene,sea-buckthorn oil,"dietetic foods, food supplements, fortified foods",2
mercury,swordfish slices (xiphias gladius),fish and fish products,2
mercury,swordfish slices,fish and fish products,2
lead,live lobsters,crustaceans and products thereof,2
mercury,swordfish loins - frozen,fish and fish products,2
mercury,red tuna (thunnus thynnus),fish and fish products,2
mercury,porbeagle (lamna nasus),fish and fish products,2
mercury,marlin (makaira indica),fish and fish products,2
sulphite,cooked chilled shrimps,crustaceans and products thereof,2
sulphite,chilled cooked prawns (penaeus vannamei),crustaceans and products thereof,2
sulphite,chilled shrimps,crustaceans and products thereof,2
methanol,wine poisoned,wine,2
benzo(a)pyrene,riga sprats in oil,fish and fish products,2
sulphite,dried apples,fruits and vegetables,2
benzo(a)pyrene,sprat paste - smoked,fish and fish products,2
mercury,grouper (epinephelus spp),fish and fish products,2
mercury,smoked sliced swordfish (xiphias gladius),fish and fish products,2
cadmium,marlin,fish and fish products,2
benzo(a)pyrene,sprat in oil - rigaer,fish and fish products,2
colour sudan 1,mild curry powder,herbs and spices,2
mercury,yellowfin tuna loins (thunnus albacares),fish and fish products,2
cadmium,sliced pineapple in its own juice,fruits and vegetables,2
benzo(a)pyrene,smoked smelt in oil,fish and fish products,2
morpholine,apples,fruits and vegetables,2
mercury,yellowfin tuna (thunnus albacares),fish and fish products,2
colour sudan 1,harissa sauce,"soups, broths, sauces and condiments",2
colour sudan 1,hot chilli,herbs and spices,2
mercury,shark - frozen,fish and fish products,2
mercury,shark - blue (prionace glauca),fish and fish products,2
sulphite,dried candied mango slices,fruits and vegetables,2
benzo(a)pyrene,smoked pork ribs,meat and meat products (other than poultry),2
mercury,mackerel fillets - snake (lepidocybium spp),fish and fish products,2
mercury,smoothhound shark (mustelus mustelus),fish and fish products,2
mercury,white dogfish,fish and fish products,2
colour sudan 1,hot chilli paste,"soups, broths, sauces and condiments",2
morphine,poppy seed in bulk,"nuts, nut products and seeds",2
mercury,fresh slices of swordfish (xiphias gladius),fish and fish products,2
sorbic acid,dried plums,fruits and vegetables,2
mercury,chilled vacuum packed swordfish,fish and fish products,2
colour orange rn,dried chilli powder,herbs and spices,2
cadmium,frozen baby octopus,molluscs and products thereof - (obsolete),2
brilliant blue fcf,frozen seaweed salad,fruits and vegetables,2
mercury,frozen blue shark slices,fish and fish products,2
mercury,frozen blue shark slices (prionace glauca),fish and fish products,2
polychlorobifenyls,eel,fish and fish products,2
propionic acid,frozen hotdog buns,cereals and bakery products,2
phenolphthalein,green coffee,"dietetic foods, food supplements, fortified foods",2
mercury,frozen fillets of swordfish (xiphias gladius),fish and fish products,2
boron chelate,food supplement,"dietetic foods, food supplements, fortified foods",2
mercury,frozen fish,fish and fish products,2
propylene glycol,cake,cereals and bakery products,2
mercury,frozen grouper (epinephelus spp),fish and fish products,2
cadmium,frozen cooked crabs (cancer pagurus),crustaceans and products thereof,2
mercury,chilled swordfish fillets,fish and fish products,2
beta-asarone,food supplement,"dietetic foods, food supplements, fortified foods",2
mercury,chilled swordfish (xiphias gladius) fillets,fish and fish products,2
mercury,frozen loins of swordfish (xiphias gladius),fish and fish products,2
paraffin oil,sultanas,fruits and vegetables,2
cadmium,frozen cuttlefish (sepia spp),cephalopods and products thereof,2
propylene glycol,swiss rolls,cereals and bakery products,2
benzoic acid,vanilla soft drink,non-alcoholic beverages,2
paraffin,sultanas,fruits and vegetables,2
benzoic acid,tomato sauce,"soups, broths, sauces and condiments",2
benzoic acid,tomato paste,fruits and vegetables,2
mercury,frozen mako (isurus oxyrinchus),fish and fish products,2
colour red yeast rice,soybean cheese sauce,"soups, broths, sauces and condiments",2
benzoic acid,strawberry syrup,confectionery,2
organic germanium,food supplement,"dietetic foods, food supplements, fortified foods",2
mercury,frozen blue shark loins (prionace glauca),fish and fish products,2
cadmium,fresh spinach,fruits and vegetables,2
mercury,frozen swordfish (xiphias glaudius),fish and fish products,2
mercury,chilled vacuum packed swordfish fillets,fish and fish products,2
polyphosphates,frozen fillets of alaska pollock,fish and fish products,2
polyphosphates,frozen fillets of alaska pollock (theragra chalocogramma),fish and fish products,2
polyphosphates,frozen plaice fillets,fish and fish products,2
cadmium,crabs (maja squinado),crustaceans and products thereof,2
polyphosphates,frozen alaska pollock fillets (theragra chalcogramma),fish and fish products,2
mercury,fresh greater amberjack (seriola dumerili),fish and fish products,2
cadmium,cleaned frozen whole squid (loligo duvauceli),cephalopods and products thereof,2
polyphosphates,iqf frozen raw skinless yellowfin sole fillets (limanda aspera),fish and fish products,2
citric acid,frozen shrimps,crustaceans and products thereof,2
polyphosphates,pork preparation,meat and meat products (other than poultry),2
cadmium,dried mushroom,fruits and vegetables,2
polyphosphates,chilled squid,molluscs and products thereof - (obsolete),2
polyphosphates,tuna,fish and fish products,2
ponceau 4r / cochineal red a,cake decoration,confectionery,2
cadmium,celery root,fruits and vegetables,2
mercury,frozen black marlin (makaira indica),fish and fish products,2
cadmium,canned squid,cephalopods and products thereof,2
cadmium,canned sardines in vegetable oil,fish and fish products,2
cadmium,canned sardines in tomato sauce,fish and fish products,2
ponceau 4r / cochineal red a,fruit flavour candy,confectionery,2
