adulterant,product,category,instances
mercury,swordfish,fish and fish products,266
sulphite,dried apricot,fruits and vegetables,173
colour sudan 4,palm oil,fats and oils,98
"3-monochlor-1,2-propanediol",soy sauce,"soups, broths, sauces and condiments",75
cadmium,swordfish,fish and fish products,68
benzo(a)pyrene,olive- residue oil,fats and oils,61
iodine,dried seaweed,fruits and vegetables,49
"1,3 dimethylamylamine",food supplement,"dietetic foods, food supplements, fortified foods",45
benzoic acid,carbonated soft drink,non-alcoholic beverages,42
colour sudan 1,chilli powder,herbs and spices,36
titanium dioxide,roasted chickpeas,fruits and vegetables,36
colour sudan 1,spices,herbs and spices,36
benzo(a)pyrene,smoked sprats,fish and fish products,35
mercury,frozen blue shark (prionace glauca),fish and fish products,28
sildenafil,food supplement,"dietetic foods, food supplements, fortified foods",27
colour sudan 1,curry powder,herbs and spices,26
yohimbine,food supplement,"dietetic foods, food supplements, fortified foods",25
sildenafil thiono analogue,food supplement,"dietetic foods, food supplements, fortified foods",25
cadmium,live crabs (cancer pagurus),crustaceans and products thereof,24
cadmium,crabs (cancer pagurus),crustaceans and products thereof,23
mercury,chilled swordfish,fish and fish products,21
sulphite,cooked prawns (penaeus vannamei),crustaceans and products thereof,20
sulphite,frozen shrimps,crustaceans and products thereof,20
mercury,food supplement,"dietetic foods, food supplements, fortified foods",19
tadalafil,food supplement,"dietetic foods, food supplements, fortified foods",19
iodine,dried algae,fruits and vegetables,19
mercury,frozen swordfish fillets,fish and fish products,19
cadmium,squid - frozen,molluscs and products thereof - (obsolete),18
magnesium aspartate,food supplement,"dietetic foods, food supplements, fortified foods",18
sibutramine,food supplement,"dietetic foods, food supplements, fortified foods",17
arsenic,algae,fruits and vegetables,17
sibutramine,slimming coffee,"dietetic foods, food supplements, fortified foods",16
cadmium,swordfish,wild caught fish and products thereof (other than crustaceans and molluscs) - (obsolete),16
dioxins,cod liver,fish and fish products,16
arsenic,food supplement,"dietetic foods, food supplements, fortified foods",16
lead,food supplement,"dietetic foods, food supplements, fortified foods",15
synephrine,food supplement,"dietetic foods, food supplements, fortified foods",15
vitamin b6,food supplement,"dietetic foods, food supplements, fortified foods",15
sulphite,frozen prawns,crustaceans and products thereof,14
aluminium,noodle,cereals and bakery products,14
mercury,smoked swordfish (xiphias gladius),fish and fish products,14
erythrosine,food supplement,"dietetic foods, food supplements, fortified foods",14
morphine,poppy seed,"nuts, nut products and seeds",13
herbs,food supplement,"dietetic foods, food supplements, fortified foods",13
colour sudan 1,hot chilli powder,herbs and spices,13
colour sudan 1,sweet paprika powder,herbs and spices,12
arsenic,dried seaweed,fruits and vegetables,12
mercury,swordfish loins (xiphias gladius),fish and fish products,12
benzo(a)pyrene,smoked fish,fish and fish products,11
"3-monochlor-1,2-propanediol",soya sauce,"soups, broths, sauces and condiments",11
colour sudan 1,red chilli powder,herbs and spices,11
mercury,swordfish - frozen,fish and fish products,11
gold,food supplement,"dietetic foods, food supplements, fortified foods",11
benzoic acid,orange drink,non-alcoholic beverages,11
carrageenan,jelly mini cups,confectionery,11
mercury,chilled swordfish fillets (xiphias gladius),fish and fish products,11
lead,calabash chalk,fruits and vegetables,10
colour sudan 4,pure palm oil,fats and oils,10
sulphite,frozen norway lobster (nephrops norvegicus),crustaceans and products thereof,10
colour sudan 1,hot paprika powder,herbs and spices,10
benzoic acid,flavoured soft drink,non-alcoholic beverages,10
colour sudan 4,red palm oil,fats and oils,10
cadmium,frozen squid,cephalopods and products thereof,9
sulphite,cooked chilled prawns,crustaceans and products thereof,9
colour sudan 1,paprika powder,herbs and spices,9
arsenic,e 331 - trisodium citrate,food additives and flavourings,9
sorbic acid,dried pitted prunes,fruits and vegetables,9
phenolphthalein,slimming coffee,"dietetic foods, food supplements, fortified foods",9
lead,green tea,"cocoa and cocoa preparations, coffee and tea",9
synephrine,food supplement containing caffeine,"dietetic foods, food supplements, fortified foods",9
sulphite,dried pear,fruits and vegetables,8
vinpocetine,food supplement,"dietetic foods, food supplements, fortified foods",8
benzo(a)pyrene,olive oil,fats and oils,8
colour sudan 1,ground chilli,herbs and spices,8
benzo(a)pyrene,food supplement,"dietetic foods, food supplements, fortified foods",8
iodine,seaweed,fruits and vegetables,8
mercury,frozen sliced swordfish (xiphias gladius),fish and fish products,8
cadmium,frozen octopus,cephalopods and products thereof,8
melamine,creamy candies,confectionery,8
colour para red,spices,herbs and spices,8
dioxins,organic eggs,eggs and egg products,8
cyanide,bitter apricot kernels,fruits and vegetables,7
mercury,frozen mako shark (isurus oxyrinchus),fish and fish products,7
cadmium,frozen prawns,crustaceans and products thereof,7
benzalkonium chloride,eddoes,fruits and vegetables,7
colour sudan 4,zomi palm oil,fats and oils,7
arsenic,dried algae,fruits and vegetables,7
sulphite,frozen crab,crustaceans and products thereof,7
colour sudan 1,sauce,"soups, broths, sauces and condiments",7
sulphite,apricot jam,confectionery,7
calcium disodium ethylene diamine tetra acetate,carbonated soft drink,non-alcoholic beverages,7
benzo(a)pyrene,sprats in oil,fish and fish products,7
mercury,chilled tuna,fish and fish products,7
cadmium,frozen squid (illex argentinus),cephalopods and products thereof,7
tartrazine,noodle,cereals and bakery products,7
cadmium,octopus - canned,molluscs and products thereof - (obsolete),7
sunset yellow fcf,carbonated soft drink,non-alcoholic beverages,7
arsenic,seaweed,fruits and vegetables,7
fruit jelly cups,suffocation risk as a result of the consumption of fruit jelly cups,confectionery,7
cadmium,frozen cuttlefish,cephalopods and products thereof,7
mercury,pink cusk-eel (genypterus blacodes),fish and fish products,7
aluminium,egg noodle,cereals and bakery products,6
cadmium,cuttlefish,molluscs and products thereof - (obsolete),6
annato/bixin/norbixin,paprika powder,herbs and spices,6
cadmium,frozen squid,molluscs and products thereof - (obsolete),6
taurine,energy drink,non-alcoholic beverages,6
benzoic acid,root beer,non-alcoholic beverages,6
erythrosine,chewing gum,confectionery,6
sulphite,precooked shrimps (penaeus vannamei),crustaceans and products thereof,6
sunset yellow fcf,sugar coated fennel seed,confectionery,6
nitrate,fresh spinach,fruits and vegetables,6
cadmium,frozen whole cuttlefish,cephalopods and products thereof,6
mercury,frozen shortfin mako (isurus oxyrinchus),fish and fish products,6
mercury,frozen shortfin mako shark (isurus oxyrinchus),fish and fish products,6
aluminium,instant noodle,cereals and bakery products,6
melatonin,food supplement,"dietetic foods, food supplements, fortified foods",6
arsenic,chewing gum,confectionery,6
sulphite,dried tomatoes,fruits and vegetables,6
mercury,smoked swordfish,fish and fish products,6
benzo(a)pyrene,sunflower oil,fats and oils,6
mercury,frozen swordfish steak,fish and fish products,6
sulphite,cooked tropical prawns (penaeus vannamei),crustaceans and products thereof,6
sulphite,cooked shrimps (penaeus vannamei),crustaceans and products thereof,6
titanium dioxide,white roasted chickpeas,fruits and vegetables,6
konjac,jelly mini cups,confectionery,6
cadmium,horse meat,meat and meat products (other than poultry),6
vanadium,food supplement,"dietetic foods, food supplements, fortified foods",6
lead,chewing gum,confectionery,6
colour sudan 1,sumac,herbs and spices,5
sibutramine,slimming coffee,"cocoa and cocoa preparations, coffee and tea",5
vitamin d,food supplement,"dietetic foods, food supplements, fortified foods",5
colour sudan 1,red pepper,herbs and spices,5
colour sudan 1,cayenne pepper,herbs and spices,5
benzoic acid,strawberry jam,confectionery,5
vanadyl sulphate,food supplement,"dietetic foods, food supplements, fortified foods",5
benzo(a)pyrene,sardines in vegetable oil,fish and fish products,5
colour sudan 1,adjika sauce,"soups, broths, sauces and condiments",5
cyanide,organic bitter apricot kernels,fruits and vegetables,5
arsenic,bottled drinking water,water for human consumption (other),5
cadmium,frozen prawns (fenneropenaeus spp),crustaceans and products thereof,5
benzo(a)pyrene,sesame oil,fats and oils,5
mercury,chilled greater amberjack (seriola dumerili),fish and fish products,5
herb,food supplement,"dietetic foods, food supplements, fortified foods",5
mercury,frozen slices of blue shark (prionace glauca),fish and fish products,5
lead,live lobsters (homarus americanus),crustaceans and products thereof,5
mineral oil,refined sunflower oil,fats and oils,5
food additive formic acid,white sour cabbage,fruits and vegetables,5
sulphite,frozen shrimps (parapenaeus longirostris),crustaceans and products thereof,5
zinc,food supplement,"dietetic foods, food supplements, fortified foods",5
annato/bixin/norbixin,red palm oil,fats and oils,5
ponceau 4r / cochineal red a,salami,meat and meat products (other than poultry),5
polycyclic aromatic hydrocarbons,smoked sprats,fish and fish products,5
morpholine,papaya,fruits and vegetables,5
sulphite,whole frozen norway lobster (nephrops norvegicus),crustaceans and products thereof,5
cadmium,chilled crabs (cancer pagurus),crustaceans and products thereof,5
colour sudan 1,seasoning,herbs and spices,5
annato/bixin/norbixin,spices,herbs and spices,5
n-didesmethyl sibutramine,slimming coffee,"dietetic foods, food supplements, fortified foods",5
cadmium,crab (cancer pagurus),crustaceans and products thereof,5
benzoic acid,food supplement,"dietetic foods, food supplements, fortified foods",5
mercury,shortfin mako (isurus oxyrinchus),fish and fish products,5
colour sudan 1,tandoori masala,herbs and spices,5
succinic acid,vodka,alcoholic beverages,4
sulphite,dried raisins,fruits and vegetables,4
mercury,sliced swordfish (xiphias gladius),fish and fish products,4
colour sudan 1,pasta with chilli pepper,cereals and bakery products,4
lead,calabash chalk,other food product / mixed,4
cadmium,frozen raw whole banana prawns (fenneropenaeus merguiensis),crustaceans and products thereof,4
colour sudan 1,powdered mixed spices,herbs and spices,4
sibutramine,green coffee,"dietetic foods, food supplements, fortified foods",4
sulphite,frozen crab (geryon spp),crustaceans and products thereof,4
