category,shelf,,,
alcoholic beverages,Alcohol,,,
animal nutrition - (obsolete),---,,,
bivalve molluscs and products thereof,Fish & Seafood,,,
cephalopods and products thereof,Fish & Seafood,,,
cereals and bakery products,Cereal,,,
"cocoa and cocoa preparations, coffee and tea",Coffee,Iced & Bottle Tea,Tea Bags,
confectionery,Chewing Gum & Mints,"Jam, Jelly & Fruit Spreads",,
crustaceans and products thereof,Fish & Seafood,,,
"dietetic foods, food supplements, fortified foods",Specialty Formula Supplements,Herbal Supplements,,
eggs and egg products,Eggs & Egg Substitutes,,,
farmed crustaceans and products thereof - (obsolete),Fish & Seafood,,,
fats and oils,Vegetable & Cooking Oils,,,
fish and fish products,Fish & Seafood,,,
food additives and flavourings,---,,,
food contact materials,---,,,
fruits and vegetables,"Fruits, Vegetables & Produce",,,
gastropods,Fish & Seafood,,,
herbs and spices,Herbs & Spices,,,
honey and royal jelly,Honey,"Jam, Jelly & Fruit Spreads",,
ices and desserts,---,,,
meat and meat products (other than poultry),USDA Meat,,,
milk and milk products,Milk,,,
molluscs and products thereof - (obsolete),Fish & Seafood,,,
natural mineral water,Water,,,
non-alcoholic beverages,Soda,Sport Drinks,Water,"Energy, Protein & Muscle Recovery Drinks"
"nuts, nut products and seeds","Popcorn, Peanuts, Seeds & Related Snacks",,,
other food product / mixed,---,,,
poultry meat and poultry meat products,USDA Poultry,,,
prepared dishes and snacks,"Chips, Pretzels & Snacks",All Noodles,,
"soups, broths, sauces and condiments","Oriental, Mexican & Ethnic Sauces","Ketchup, Mustard, BBQ & Cheese Sauce",,
water for human consumption (other),Water,,,
wild caught crustaceans and products thereof - (obsolete),Fish & Seafood,,,
wild caught fish and products thereof (other than crustaceans and molluscs) - (obsolete),Fish & Seafood,,,
wine,Alcohol,,,
