product,chemical
algae,aluminium
algae,arsenic
algae,iodine
apricot jam,E 200 - sorbic acid
apricot jam,E 210 - benzoic acid
apricot jam,sulphite
ayurvedic food supplement,arsenic
ayurvedic food supplement,lead
baby food,iodine
baby food,semicarbazide
baby food,vitamins
biscuits,colour E 127 - erythrosine
biscuits,melamine
biscuits,sulphite
bottled water,arsenic
bottled water,petroleum hydrocarbons
brownies,E 210 - benzoic acid
brownies,E 211 - sodium benzoate
bubble gum,colour E 122 - azorubine
bubble gum,colour E 127 - erythrosine
buckwheat flour,cadmium
buckwheat flour,lead
cake decoration,colour E 102 - tartrazine
cake decoration,colour E 124 - Ponceau 4R / cochineal red A
cake decoration,colour E 127 - erythrosine
cake decoration,colour E 143 - fast green FCF / FD&C green
calabash chalk,arsenic
calabash chalk,lead
candied fruit,colour E 110 - Sunset Yellow FCF
candied fruit,sulphite
candy,colour
candy,colour E 110 - Sunset Yellow FCF
candy,colour E 122 - azorubine
candy,colour E 127 - erythrosine
candy,lead
candy,sweetener E 950 - acesulfame k
candy floss,colour E 110 - Sunset Yellow FCF
candy floss,colour E 122 - azorubine
canned mushrooms,sulphite
canned mushrooms,tin
canned pineapple,cadmium
canned pineapple,tin
canned sliced pineapple,cadmium
canned sliced pineapple,tin
canned vegetables,erucic acid
canned vegetables,sulphite
carbonated natural mineral water,boron
carbonated natural mineral water,chromium
carbonated soft drink,E 200 - sorbic acid
carbonated soft drink,E 210 - benzoic acid
carbonated soft drink,E 211 - sodium benzoate
carbonated soft drink,E 385 - calcium disodium ethylene diamine tetra acetate
carbonated soft drink,benzene
carbonated soft drink,caffeine
carbonated soft drink,colour E 102 - tartrazine
carbonated soft drink,colour E 110 - Sunset Yellow FCF
carbonated soft drink,colour E 122 - azorubine
carbonated soft drink,colour E 123 - amaranth
carbonated soft drink,colour E 143 - fast green FCF / FD&C green
carbonated soft drink,sweetener E 952 - cyclamate
carrots,cadmium
carrots,lead
cayenne pepper,colour Para Red
cayenne pepper,colour Sudan 1
chewing gum,arsenic
chewing gum,colour E 110 - Sunset Yellow FCF
chewing gum,colour E 127 - erythrosine
chewing gum,lead
chewing gum,sildenafil
chilled plaice fillets,E 452 - polyphosphates
chilled plaice fillets,phosphate
chilled shrimps,E 210 - benzoic acid
chilled shrimps,sulphite
chilled spiny dogfish (squalus acanthias),non-dioxin-like polychlorobifenyls
chilled spiny dogfish (squalus acanthias),polychlorobifenyls
chilli,colour E 160b - annato/bixin/norbixin
chilli,colour Sudan 1
chilli powder,colour E 160b - annato/bixin/norbixin
chilli powder,colour Para Red
chilli powder,colour Rhodamine B
chilli powder,colour Sudan
chilli powder,colour Sudan 1
chilli powder,colour Sudan 4
chilli sauce,colour E 160b - annato/bixin/norbixin
chilli sauce,colour Sudan 1
chocolate biscuit,colour E 127 - erythrosine
chocolate biscuit,melamine
cocktail nuts,colour E 110 - Sunset Yellow FCF
cocktail nuts,colour Sudan 1
coffee,N-didesmethyl sibutramine
coffee,sildenafil
confectionery,colour E 110 - Sunset Yellow FCF
confectionery,colour E 127 - erythrosine
cookies,colour E 110 - Sunset Yellow FCF
cookies,colour E 160b - annato/bixin/norbixin
crude sunflower oil,benzo(a)pyrene
crude sunflower oil,mineral oil
curry paste,colour Sudan 1
