,classification,date_case,date_last_change,reference,country,type,category,subject
23,information for follow-up,05/01/2015,23/01/2015,2015.0009,Romania,food,fats and oils,benzo(a)pyrene (29.55 mg/kg - ppm) and polycyclic aromatic hydrocarbons (140.73 µg/kg - ppb) in olive pomace oil from Greece
24,alert,29/12/2014,13/01/2015,2014.1777,Italy,food,milk and milk products,dioxins and dioxin-like polychlorobifenyls (sum: 4.19 pg WHO TEQ/g) in cheese from Romania
25,information for follow-up,23/12/2014,23/12/2014,2014.1763,Belgium,food,food contact materials,migration of benzophenone (3.4 mg/kg - ppm) from cardboard box containing rice from India
26,alert,28/11/2014,12/03/2015,2014.1625,Slovakia,food,"cocoa and cocoa preparations, coffee and tea","benzo(a)pyrene (14.2 µg/kg - ppb) and polycyclic aromatic hydrocarbons (50.2 µg/kg - ppb) in fat reduced cocoa powder with raw material from Spain, packaged in Slovakia"
27,alert,11/11/2014,28/11/2014,2014.1520,Estonia,food,fish and fish products,benzo(a)pyrene (6.6 µg/kg - ppb) and polycyclic aromatic hydrocarbons (41 µg/kg - ppb) in sprats in oil from Latvia
28,alert,05/11/2014,28/11/2014,2014.1491,Estonia,food,fish and fish products,benzo(a)pyrene (33.8 µg/kg - ppb) and polycyclic aromatic hydrocarbons (247.4 µg/kg - ppb) in smoked sprats in oil from Latvia
29,information for attention,20/10/2014,20/10/2014,2014.1424,Italy,food,crustaceans and products thereof,dioxins and dioxin-like polychlorobifenyls (sum= 11.175 pg WHO TEQ/g) in chilled crab from the Netherlands
30,alert,17/10/2014,10/04/2015,2014.1420,Germany,food,milk and milk products,"too high content of hydrogen peroxide (> 25 mg/l) in chocolate & vanilla dessert from Germany, via the Czech Republic"
31,border rejection,14/10/2014,14/10/2014,2014.BPA,Poland,food,fats and oils,benzo(a)pyrene (3.11 µg/kg - ppb) and polycyclic aromatic hydrocarbons (15.7 µg/kg - ppb) in unrefined soybean oil from Ukraine
32,border rejection,30/09/2014,09/10/2014,2014.BNM,Poland,food,fats and oils,benzo(a)pyrene (6.6 µg/kg - ppb) and polycyclic aromatic hydrocarbons (sum of 4 PAH: 30 µg/kg - ppb) in non-refined soybean oil from Ukraine
33,alert,18/09/2014,14/01/2015,2014.1296,Slovakia,food,"cocoa and cocoa preparations, coffee and tea",benzo(a)pyrene (21.8 µg/kg - ppb) and polycyclic aromatic hydrocarbons (105.06 µg/kg - ppb) in fat-reduced cocoa bean powder from Spain
34,information for follow-up,10/09/2014,18/09/2014,2014.1267,Netherlands,food,poultry meat and poultry meat products,suspicion of dioxins in laying hens from the Netherlands
35,alert,13/08/2014,24/09/2014,2014.1136,Germany,food,fish and fish products,"non-dioxin-like polychlorobifenyls (204 µg/kg - ppb) in frozen dogfish bellyflaps (Squalus acanthias) from the United States, via the Netherlands"
36,border rejection,08/08/2014,13/08/2014,2014.BHS,Poland,food,fats and oils,benzo(a)pyrene (6.3 µg/kg - ppb) and polycyclic aromatic hydrocarbons (26.8 µg/kg - ppb) in crude soybean oil from Ukraine
37,border rejection,08/08/2014,08/08/2014,2014.BHR,Poland,food,fats and oils,benzo(a)pyrene (>12.5 µg/kg - ppb) and polycyclic aromatic hydrocarbons (>50 µg/kg - ppb) in crude soybean oil from Ukraine
38,border rejection,08/08/2014,08/08/2014,2014.BHO,Poland,food,fats and oils,benzo(a)pyrene (12.5 µg/kg - ppb) and polycyclic aromatic hydrocarbons (>50 µg/kg - ppb) in non-refined soybean oil from Ukraine
39,border rejection,07/08/2014,13/08/2014,2014.BHM,Poland,food,fats and oils,benzo(a)pyrene (3.2 µg/kg - ppb) and polycyclic aromatic hydrocarbons (18.6 µg/kg - ppb) in crude soybean oil from Ukraine
40,border rejection,07/08/2014,13/08/2014,2014.BHK,Poland,food,fats and oils,benzo(a)pyrene (>12.5 µg/kg - ppb) and polycyclic aromatic hydrocarbons (>50 µg/kg - ppb) in crude soybean oil from Ukraine
41,alert,31/07/2014,16/01/2015,2014.1062,Slovakia,food,"cocoa and cocoa preparations, coffee and tea",benzo(a)pyrene (5.12 µg/kg - ppb) and polycyclic aromatic hydrocarbons (46.35 µg/kg - ppb) in cocoa bean powder from Spain
42,alert,22/07/2014,04/12/2014,2014.1002,Poland,food,fish and fish products,"polycyclic aromatic hydrocarbons (sum of 4 PAA: 73,56 µg/kg - ppb) in smoked sprats in vegetable oil from Latvia"
43,border rejection,18/07/2014,18/07/2014,2014.BEG,Poland,food,fats and oils,benzo(a)pyrene (3.23 µg/kg - ppb) and polycyclic aromatic hydrocarbons (16.2 µg/kg - ppb) in non-refined soybean oil from Ukraine
44,information for attention,15/07/2014,04/08/2014,2014.0968,Poland,food,fats and oils,benzo(a)pyrene (3.44 µg/kg - ppb) in coconut oil from Sri Lanka
45,border rejection,02/07/2014,02/07/2014,2014.BCE,Poland,food,fats and oils,benzo(a)pyrene (>12.5 µg/kg - ppb) and polycyclic aromatic hydrocarbons (>50 µg/kg - ppb) in non-refined soybean oil from Ukraine
46,border rejection,02/07/2014,02/07/2014,2014.BCA,Poland,food,fats and oils,polycyclic aromatic hydrocarbons (29.3 µg/kg - ppb) in non-refined soybean oil from Ukraine
47,information for attention,10/06/2014,11/06/2014,2014.0788,Czech Republic,food,"soups, broths, sauces and condiments","3-monochlor-1,2-propanediol (3-MCPD) (369.4 µg/kg - ppb) in soy sauce from Thailand"
48,alert,02/06/2014,09/01/2015,2014.AWM,Belgium,food,fish and fish products,polycyclic aromatic hydrocarbons (49.3 µg/kg - ppb) in smoked fish from Togo
49,alert,29/05/2014,22/08/2014,2014.0749,Hungary,food,fish and fish products,benzo(a)pyrene (6.9; 6.1; 4.3; 6.0 µg/kg - ppb) and polycyclic aromatic hydrocarbons (37; 43.6; 25.5; 31.9 µg/kg - ppb) in smoked herring in vegetable oil from Latvia
50,information for follow-up,29/05/2014,13/06/2014,2014.0748,Czech Republic,food,fruits and vegetables,"mineral oil (567 mg/kg - ppm) in dried raisins from Iran, packaged in the Czech Republic, via Hong Kong"
51,border rejection,26/05/2014,05/06/2014,2014.AVO,Belgium,food,fish and fish products,benzo(a)pyrene (6.2 µg/kg - ppb) and polycyclic aromatic hydrocarbons (46.1) in smoked sardinellas (Sardinella aurita) from Ghana
52,alert,08/05/2014,17/06/2014,2014.0628,Netherlands,food,"dietetic foods, food supplements, fortified foods","benzo(a)pyrene (33 µg/kg - ppb) in organic green tea extract from the United States, via the United Kingdom"
53,information for attention,29/04/2014,08/01/2015,2014.0583,Latvia,food,fish and fish products,benzo(a)pyrene (6.6 µg/kg - ppb) and polycyclic aromatic hydrocarbons (48.6 µg/kg - ppb) in smoked sprats in oil from Latvia
54,alert,29/04/2014,17/06/2014,2014.0584,Latvia,food,fish and fish products,polycyclic aromatic hydrocarbons (50.7 µg/kg - ppb) in smoked sprats in oil from Latvia
55,alert,17/04/2014,23/05/2014,2014.0530,Slovakia,food,fish and fish products,benzo(a)pyrene (9.4 µg/kg - ppb) and polycyclic aromatic hydrocarbons (4PAH: 46.1 µg/kg - ppb) in smoked sprats from Latvia
56,information for follow-up,17/04/2014,30/04/2014,2014.0534,Italy,food,fish and fish products,non-dioxin-like polychlorobifenyls (116.74 µg/kg - ppb) in chilled spiny dogfish (Squalus Acanthias) from the Netherlands
57,information for attention,10/04/2014,10/04/2014,2014.0497,Italy,food,fish and fish products,non-dioxin-like polychlorobifenyls (139.5 pg WHO TEQ/g) in chilled dogfish (Squalus Acanthias) from the Netherlands
58,information for attention,31/03/2014,01/04/2014,2014.0432,Hungary,food,"cocoa and cocoa preparations, coffee and tea",benzo(a)pyrene (22.1 µg/kg - ppb) and polycyclic aromatic hydrocarbons (152.9 µg/kg - ppb) in low fat cocoa powder from China
59,information for attention,28/03/2014,17/04/2014,2014.0419,Italy,food,fish and fish products,polychlorobifenyls (114.63 µg/kg - ppb) in chilled spiny dogfish (Squalus Acanthias) from the Netherlands
60,alert,26/03/2014,07/07/2014,2014.0408,Czech Republic,food,fish and fish products,polycyclic aromatic hydrocarbons (4PAH: 32.35 µg/kg - ppb) in smoked sprats from Estonia
61,alert,21/03/2014,08/04/2014,2014.0376,Hungary,food,fish and fish products,benzo(a)pyrene (5.8 µg/kg - ppb) and polycyclic aromatic hydrocarbons (42.8 µg/kg - ppb) in smoked sprats from Latvia
62,information for attention,13/03/2014,17/04/2014,2014.0344,Italy,food,fish and fish products,non-dioxin-like polychlorobifenyls (141.15 pg WHO TEQ/g) in chilled spiny dogfish (Squalus Acanthias) from the Netherlands
63,information for follow-up,13/03/2014,02/04/2014,2014.0343,Germany,food,fish and fish products,non-dioxin-like polychlorobifenyls (325; 339 pg WHO TEQ/g) in chilled dogfish from the United States
64,border rejection,06/03/2014,06/03/2014,2014.AKX,Finland,food,"soups, broths, sauces and condiments",benzo(a)pyrene (3.6 µg/kg - ppb) in chilli oil from China
65,border rejection,06/03/2014,06/03/2014,2014.AKT,Germany,food,fish and fish products,benzo(a)pyrene (35 µg/kg - ppb) in smoked sardines (Sardinella aurita ) from Ghana
66,border rejection,06/03/2014,06/03/2014,2014.AKR,Finland,food,"soups, broths, sauces and condiments",benzo(a)pyrene (3.9 µg/kg - ppb) in hot chilli sauce from China
67,alert,04/03/2014,20/03/2014,2014.0292,Czech Republic,food,fish and fish products,polycyclic aromatic hydrocarbons (58.97 µg/kg - ppb) in smoked sprats from Latvia
68,alert,25/02/2014,20/03/2014,2014.0262,Greece,food,fats and oils,polycyclic aromatic hydrocarbons (15 µg/kg - ppb) in olive pomace oil from Greece
69,alert,19/02/2014,20/03/2014,2014.0238,Hungary,food,fish and fish products,benzo(a)pyrene (5.3 µg/kg - ppb) and polycyclic aromatic hydrocarbons (37.7 µg/kg - ppb) in smoked sprats from Latvia
70,alert,13/02/2014,20/03/2014,2014.0217,Hungary,food,fish and fish products,"benzo(a)pyrene (4.4 µg/kg - ppb) and polycyclic aromatic hydrocarbons (Sum Benzo(a)pyrene, Benz(a)anthracene, Benzo(b)fluoranthene, chrysene: 31.3 µg/kg - ppb) in smoked sprats from Latvia"
71,alert,13/02/2014,20/03/2014,2014.0216,Hungary,food,fish and fish products,"benzo(a)pyrene (6.8 µg/kg - ppb) and polycyclic aromatic hydrocarbons (Sum Benzo(a)pyrene, Benz(a)anthracene, Benzo(b)fluoranthene, chrysene: 37.7 µg/kg - ppb) in smoked sprats from Estonia"
72,alert,12/02/2014,06/03/2014,2014.0215,Italy,food,milk and milk products,hydrogen peroxide (presence in 2 out of 5 pots) in vanilla chocolate pudding from Germany
73,alert,11/02/2014,26/03/2014,2014.0202,France,food,fish and fish products,"dioxins (2.582 pg WHO TEQ/g), dioxin-like polychlorobifenyls (PCDD/F + PCB-DL: 21.551 pg WHO TEQ/g) and non-dioxin-like polychlorobifenyls (721.024 µg/kg - ppb) in frozen smoked eels (Anguilla anguilla) from the Netherlands"
74,alert,07/02/2014,12/03/2014,2014.0182,Germany,food,fish and fish products,non-dioxin-like polychlorobifenyls (178; 169 µg/kg - ppb) in frozen dogfish (Squalus acanthias) from the United States
75,alert,03/02/2014,18/07/2014,2014.0146,Belgium,food,fish and fish products,"benzo(a)pyrene (36.7 µg/kg - ppb) and polycyclic aromatic hydrocarbons (sum of benzo(a)-pyrene, benz(a)anthracene, benzo(b)fluoranthene and chrysene: 221 µg/kg - ppb) in smoked sardines (Sardinella aurita) from Ghana"
76,information for follow-up,29/01/2014,20/03/2014,2014.0130,Poland,food,"cocoa and cocoa preparations, coffee and tea","benzo(a)pyrene (11.1 µg/kg - ppb) and polycyclic aromatic hydrocarbons (56 µg/kg - ppb) in cocoa from the Netherlands, packaged in Poland"
77,information for attention,24/01/2014,20/03/2014,2014.0107,United Kingdom,food,"dietetic foods, food supplements, fortified foods",polycyclic aromatic hydrocarbons (benzo(a)pyrene: 8.2; sum PAH:41 µg/kg - ppb) in food supplement from the United States
78,alert,24/01/2014,20/03/2014,2014.0103,Sweden,food,prepared dishes and snacks,polycyclic aromatic hydrocarbons (sum of 4PAH: 100 µg/kg - ppb) in coconut oil intended for preparing popcorn from the United States
79,alert,09/01/2014,20/03/2014,2014.0026,Hungary,food,fish and fish products,benzo(a)pyrene (6.3 µg/kg - ppb) and polycyclic aromatic hydrocarbons (46.5 µg/kg - ppb) in smoked sprats from Latvia
80,border rejection,02/01/2014,06/01/2014,2014.AAE,United Kingdom,food,fish and fish products,benzo(a)pyrene (33 µg/kg - ppb) in smoked sardinella (Sardinella spp.) from Ghana
81,information for attention,30/12/2013,20/03/2014,2013.1743,Poland,food,"dietetic foods, food supplements, fortified foods","polycyclic aromatic hydrocarbons (sum of: sum of benzo[a]pyrene + benzo[a]anthracene + benzo[b]fluoranthene + chrysene: 103,45 µg/kg - ppb mg/kg - ppm) in natural spirulina from China"
82,information for attention,27/12/2013,30/12/2013,2013.1730,Italy,food,fish and fish products,non-dioxin-like polychlorobifenyls (147 ng/kg - ppt) in chilled dogfish (Squalus acanthias) from the Netherlands
83,information for attention,23/12/2013,23/12/2013,2013.1721,Italy,food,fish and fish products,non-dioxin-like polychlorobifenyls (103 µg/kg - ppb) in chilled dogfish (Squalus acanthias) from the Netherlands
84,alert,16/12/2013,23/12/2013,2013.1671,Belgium,food,fruits and vegetables,perchlorate (4.0; 2.8 mg/kg - ppm) in fresh spinach from Belgium
85,alert,12/11/2013,20/03/2014,2013.1482,Slovenia,food,"cocoa and cocoa preparations, coffee and tea",polycyclic aromatic hydrocarbons (294 µg/kg - ppb) in alkalized cocoa powder from China
86,alert,04/11/2013,20/03/2014,2013.1450,Estonia,food,fish and fish products,benzo(a)pyrene (13.6 µg/kg - ppb) and polycyclic aromatic hydrocarbons (69.4 µg/kg - ppb) in smoked sprats from Latvia
87,information for follow-up,30/08/2013,13/09/2013,2013.1192,Germany,food,eggs and egg products,dioxins (8.8 pg WHO TEQ/g) in organic eggs from Germany
88,information for attention,28/08/2013,28/08/2013,2013.1181,Germany,food,eggs and egg products,dioxins (3.4 pg WHO TEQ/g) in organic eggs from the Netherlands
89,information for attention,27/08/2013,22/05/2014,2013.1177,France,food,fish and fish products,dioxins (1.053 pg WHO TEQ/g) in bluefin tuna from Italy
90,border rejection,21/08/2013,09/01/2014,2013.BMV,Germany,food,fish and fish products,dioxin-like polychlorobifenyls in frozen spiny dogfish (Squalius acantias) from the United States
91,alert,09/08/2013,09/08/2013,2013.1107,Belgium,food,fish and fish products,benzo(a)pyrene (45.1 µg/kg - ppb) in smoked fish from Ghana
92,information for attention,02/08/2013,07/09/2013,2013.1075,Italy,food,fish and fish products,non-dioxin-like polychlorobifenyls (152 ng/kg - ppt) in chilled spiny dogfish (Squalius acanthias) from the United States
93,information for attention,19/07/2013,22/05/2014,2013.1014,Italy,food,fish and fish products,unauthorised use of hydrogen peroxide for decontamination of chilled cuttlefish (Sepia officinalis) from Tunisia
94,border rejection,19/07/2013,01/08/2013,2013.BIK,Lithuania,food,fats and oils,benzo(a)pyrene (5.91 µg/kg - ppb) in coconut oil from India
95,information for follow-up,10/07/2013,30/07/2013,2013.0975,Netherlands,food,fats and oils,benzo(a)pyrene (4.6 µg/kg - ppb) in organic rapeseed oil from the Netherlands
96,alert,09/07/2013,20/03/2014,2013.0974,Belgium,food,fats and oils,"benzo(a)pyrene (4.6; 4,6 µg/kg - ppb) and polycyclic aromatic hydrocarbons (18.6; 18 µg/kg - ppb) in organic rapeseed oil from the Netherlands"
97,information for follow-up,28/06/2013,20/03/2014,2013.0909,Denmark,food,fruits and vegetables,"polycyclic aromatic hydrocarbons and benzo(a)anthracene (8.7 µg/kg - ppb) in honey-dipped banana chips from the Philippines, via the Netherlands"
98,information for attention,19/06/2013,01/07/2013,2013.0860,Italy,food,fish and fish products,non-dioxin-like polychlorobifenyls (113 µg/kg - ppb) in spiny dogfish (Squalius acanthias) from the United States
99,alert,24/05/2013,04/07/2013,2013.0718,France,food,fish and fish products,non-dioxin-like polychlorobifenyls (113501 pg WHO TEQ/g) in chilled spiny dogfish (Squalius acanthias) from the United States
100,alert,20/05/2013,20/03/2014,2013.0698,Ireland,food,fish and fish products,"polycyclic aromatic hydrocarbons (60 µg/kg - ppb) in dried fish from Thailand, via the United Kingdom"
101,alert,16/05/2013,03/02/2014,2013.0683,Germany,food,fish and fish products,"benzo(a)pyrene (61.2 µg/kg - ppb) in dried fish from Ghana, via Belgium"
102,information for attention,04/04/2013,16/04/2013,2013.0469,Germany,food,fruits and vegetables,perchlorate (0.18 mg/kg - ppm) in grapefruit from Spain
103,alert,25/03/2013,02/06/2014,2013.0429,Italy,food,fats and oils,"polycyclic aromatic hydrocarbons (sum of benzo(a)pyrene, benz(a)anthracene, benzo(b)fluoranthene and chrysene: 13.7 µg/kg - ppb) in organic flaxseed oil from Italy"
104,border rejection,19/03/2013,19/03/2013,2013.AQS,United Kingdom,food,fish and fish products,benzo(a)pyrene (19.7 µg/kg - ppb) and chrysene (85 µg/kg - ppb) in smoked frozen sardinella fillet (Sardinella spp) from the Gambia
105,information for attention,15/03/2013,24/04/2013,2013.0371,Germany,food,fruits and vegetables,perchlorate (0.31; 0.4 mg/kg - ppm) in tomatoes on the vine from Spain
106,information for attention,04/03/2013,28/05/2013,2013.0279,Sweden,food,fish and fish products,dioxins and dioxin-like polychlorobifenyls in fresh Baltic salmon (Salmo salar) from Sweden
107,alert,21/02/2013,20/03/2014,2013.0225,Czech Republic,food,fish and fish products,benzo(a)pyrene (8.02 µg/kg - ppb) and polycyclic aromatic hydrocarbons (31.31 µg/kg - ppb) in smoked sprats in vegetable oil from Estonia
108,information for follow-up,08/02/2013,14/02/2013,2013.0161,Malta,food,prepared dishes and snacks,high level of acrylamide (1600 µg/kg - ppb) in potato crisps from Italy
109,alert,08/01/2013,14/02/2013,2013.0022,Belgium,food,fish and fish products,"benzo(a)pyrene (10.9 µg/kg - ppb) in smoked fish (Sphyraena piscatorum, Arius spp) from Côte d'Ivoire"
110,border rejection,19/12/2012,21/01/2013,2012.COR,United Kingdom,food,"dietetic foods, food supplements, fortified foods",semicarbazide (SEM) (30 µg/kg - ppb) in food supplement from India
111,alert,12/12/2012,07/01/2013,2012.1717,Slovakia,food,meat and meat products (other than poultry),benzo(a)pyrene (11.0 - 53.6 µg/kg - ppb) in smoked pork ribs from Poland
112,alert,05/12/2012,03/01/2013,2012.1678,Denmark,food,fish and fish products,dioxins and dioxin-like polychlorobifenyls (sum: 85 pg WHO TEQ/g) in chilled cod liver from Denmark
113,information for attention,13/11/2012,21/11/2012,2012.1575,Norway,food,food additives and flavourings,benzo(a)pyrene (560; 500 µg/kg - ppb) in mixed tocopheroles in carrier soya bean oil from China
114,information for attention,06/11/2012,04/07/2013,2012.1533,Germany,food,eggs and egg products,non-dioxin-like polychlorobifenyls (upper-bound: 120 µg/kg - ppb) in organic eggs from Germany
115,alert,05/11/2012,20/03/2014,2012.1529,Greece,food,fish and fish products,"benzo(a)pyrene (6,9 µg/kg - ppb) and polycyclic aromatic hydrocarbons (37,78 µg/kg - ppb) in smoked sprat pate from Latvia, via Estonia"
116,alert,10/09/2012,10/09/2012,2012.1290,Belgium,food,meat and meat products (other than poultry),dioxins (6.04 pg WHO TEQ/g) in chilled lamb's liver from the Netherlands
117,alert,29/08/2012,11/01/2013,2012.1246,Austria,food,fish and fish products,"benzo(a)pyrene (13 µg/kg - ppb) in sprat paste from Latvia, via Germany"
118,alert,29/08/2012,29/08/2012,2012.1245,Germany,food,eggs and egg products,dioxins (8.15 pg WHO TEQ/g) in organic eggs from Germany
119,border rejection,27/06/2012,16/08/2012,2012.BIB,Greece,food,fats and oils,benzo(a)pyrene (2.7 µg/l) in refined sunflower oil from Egypt
120,information for attention,19/06/2012,20/06/2012,2012.0846,Germany,food,eggs and egg products,dioxins (19.5 ng/kg - ppt) in organic eggs from Germany
121,border rejection,15/05/2012,15/05/2012,2012.BBE,United Kingdom,food,confectionery,unauthorised food additive white mineral oil in jelly gums from the United States
122,information for attention,07/05/2012,23/05/2012,2012.0621,Germany,food,eggs and egg products,polychlorobifenyls (non dioxin like in fat: 82.3 µg/kg - ppb) in organic eggs from Germany
123,border rejection,04/05/2012,07/05/2012,2012.AZJ,United Kingdom,food,confectionery,unauthorised food additive white mineral oil (mentioned on the label) in various candy products from the United States
124,border rejection,03/05/2012,03/05/2012,2012.AZG,Lithuania,food,fats and oils,benzo(a)pyrene (2.9 µg/kg - ppb) in unrefined pumpkin seed oil from Ukraine
125,border rejection,30/04/2012,30/04/2012,2012.AYP,Lithuania,food,fats and oils,benzo(a)pyrene (23 µg/kg - ppb) in sea buckthorn fruit oil from China
126,information for attention,18/04/2012,18/04/2014,2012.0556,Germany,food,fish and fish products,dioxins and dioxin-like polychlorobifenyls (71.7 pg WHO TEQ/g) in cod liver in own oil from Denmark
127,information for attention,16/04/2012,25/04/2012,2012.0540,Germany,food,eggs and egg products,dioxins and dioxin-like polychlorobifenyls (9.89 pg WHO TEQ/g) in organic eggs from Germany
128,information for follow-up,05/04/2012,04/05/2012,2012.0496,Germany,food,eggs and egg products,dioxins and dioxin-like polychlorobifenyls (sum of: 15.64 pg WHO TEQ/g) in organic eggs from Germany
129,border rejection,04/04/2012,04/04/2012,2012.AUF,Italy,food,crustaceans and products thereof,benzo(a)pyrene in smoked dried sea crayfish from Nigeria
130,alert,28/03/2012,04/05/2012,2012.0460,Slovakia,food,fats and oils,benzo(a)pyrene (17.99 µg/kg - ppb) in olive oil from Italy
131,information for attention,23/03/2012,23/03/2012,2012.0448,Germany,food,meat and meat products (other than poultry),dioxins and dioxin-like polychlorobifenyls (37.42 pg WHO TEQ/g) in lamb liver from Germany
132,information for attention,19/03/2012,11/04/2012,2012.0416,Germany,food,meat and meat products (other than poultry),dioxins and dioxin-like polychlorobifenyls (sum of 13.37 pg WHO TEQ/g) in lamb liver from the United Kingdom
133,information for attention,15/03/2012,10/09/2012,2012.0397,United Kingdom,food,"soups, broths, sauces and condiments","3-monochlor-1,2-propanediol (3-MCPD) (45 µg/kg - ppb) in soy sauce from Vietnam"
134,information for attention,15/03/2012,15/03/2012,2012.0392,Lithuania,food,fats and oils,benzo(a)pyrene (3.0 µg/kg - ppb) in refined sunflower oil from Russia
135,information for follow-up,28/02/2012,28/02/2012,2012.0313,Germany,food,meat and meat products (other than poultry),dioxins (7.4 - 40.8 pg WHO TEQ/g) in lamb liver from the Netherlands
136,information for attention,22/02/2012,22/02/2012,2012.0279,United Kingdom,food,fish and fish products,benzo(a)pyrene (5.6 µg/kg - ppb) in dried fumigated skipjack tuna from Vietnam
137,border rejection,13/02/2012,16/02/2012,2012.AKF,United Kingdom,food,crustaceans and products thereof,benzo(a)pyrene (78 µg/kg - ppb) in smoked dried shrimps (Penaeus notialis) from the Gambia
