,classification,date_case,date_last_change,reference,country,type,category,subject
0,alert,23/09/2015,29/09/2015,2015.1200,Germany,food,eggs and egg products,dioxin-like polychlorobifenyls (7 out of 12 samples: sum of dioxins and dioxin-like PCB > 5 pg/kg) and non-dioxin-like polychlorobifenyls (12 out of 12 samples: >40 pg WHO TEQ/g) in egg yolk powder from India
1,information for attention,16/09/2015,24/09/2015,2015.1175,Lithuania,food,fish and fish products,benzo(a)pyrene (93.8 µg/kg - ppb) in smoked skipjack tuna flakes from South Korea
2,alert,01/09/2015,28/09/2015,2015.1122,Denmark,food,meat and meat products (other than poultry),dioxins (4.6 pg WHO TEQ/g) in chilled sow half carcasses from Denmark
3,information for attention,01/09/2015,14/09/2015,2015.1123,Sweden,food,eggs and egg products,dioxin-like polychlorobifenyls (6.13 pg WHO TEQ/g) in dried yolk powder from India
4,alert,01/09/2015,03/09/2015,2015.1121,Germany,food,fats and oils,benzo(a)pyrene (7.8 µg/kg - ppb) and polycyclic aromatic hydrocarbons (calculated: 59.8 µg/kg - ppb) in pumpkin seed oil from Austria
5,information for attention,13/08/2015,20/08/2015,2015.1053,Czech Republic,food,fats and oils,benzo(a)pyrene (9.5 µg/kg - ppb) in organic amaranth oil from Poland
6,information for follow-up,23/07/2015,27/07/2015,2015.0961,Netherlands,food,food additives and flavourings,"3-monochlor-1,2-propanediol (3-MCPD) (186; 180; 150 µg/kg - ppb) in pharma glycerine from the Netherlands"
7,alert,16/07/2015,17/07/2015,2015.0930,Netherlands,food,eggs and egg products,dioxins (3.44; 4.06; 3.88; 2.84; 3.39; pg WHO TEQ/g) in organic eggs from the Netherlands
8,alert,10/07/2015,31/07/2015,2015.0893,Netherlands,food,eggs and egg products,dioxin-like polychlorobifenyls (22 pg WHO TEQ/g) in eggs from the Netherlands
9,alert,26/06/2015,24/09/2015,2015.0824,Germany,food,fish and fish products,"dioxins (76.94 pg WHO TEQ/g) in cod liver from Latvia, with raw material from Norway"
10,information for follow-up,24/06/2015,30/07/2015,2015.0809,Czech Republic,food,alcoholic beverages,2-methyl-2-propanol (tert-butanol) (95.59 mg/l) in spirits from France
11,information for follow-up,16/06/2015,24/07/2015,2015.0767,Ireland,food,"soups, broths, sauces and condiments","3-monochlor-1,2-propanediol (3-MCPD) (510.7 µg/kg - ppb) in soy sauce from the Philippines, via the United Kingdom"
12,information for attention,10/06/2015,02/07/2015,2015.0723,Lithuania,food,fats and oils,"benzo(a)pyrene (5.2 µg/kg - ppb) and polycyclic aromatic hydrocarbons (SUM PAH: 28.5; 29.5 µg/kg - ppb) in unrefined hemp seed oil from Lithuania, with raw material from China, via Poland"
13,information for attention,10/06/2015,11/06/2015,2015.0721,Lithuania,food,fats and oils,"benzo(a)pyrene (5; 6 µg/kg - ppb) and polycyclic aromatic hydrocarbons (PAH4 sum: 29; 31 µg/kg - ppb) in cold-pressed linseed oil manufactured in Lithuania, with raw material from Ukraine"
14,alert,09/06/2015,22/06/2015,2015.0716,Estonia,food,meat and meat products (other than poultry),benzo(a)pyrene (2.7 µg/kg - ppb) and polycyclic aromatic hydrocarbons (PAH4 sum: 15.8 µg/kg - ppb) in chilled bacon from Latvia
15,alert,26/05/2015,29/06/2015,2015.0638,Slovakia,food,meat and meat products (other than poultry),benzo(a)pyrene (2.7 µg/kg - ppb) and polycyclic aromatic hydrocarbons (PAH4 sum: 27.3 µg/kg - ppb) in smoked ribs from Poland
16,alert,20/05/2015,16/09/2015,2015.0614,United Kingdom,food,"dietetic foods, food supplements, fortified foods","2,4-dinitrophenol (DNP) (11 mg/kg - ppm) in food supplement from the United States, via the Netherlands"
17,alert,04/05/2015,28/09/2015,2015.0546,Germany,food,non-alcoholic beverages,"perchlorate (0.24 mg/l) and unauthorised substance chlorate (18.2 mg/l) in beverages marketed as food supplement from the United States, via the Netherlands"
18,alert,23/04/2015,29/04/2015,2015.0515,Germany,food,"dietetic foods, food supplements, fortified foods",benzo(a)pyrene (902.5 µg/kg - ppb) and polycyclic aromatic hydrocarbons (sum PAH: 3189 µg/kg - ppb) in organic chlorella from China
19,alert,10/04/2015,30/07/2015,2015.0459,Poland,food,fish and fish products,benzo(a)pyrene (4.69 µg/kg - ppb) and polycyclic aromatic hydrocarbons (sum of PAHs 4:  154 µg/kg - ppb) in smoked sprats in vegetable oil from Latvia
20,alert,23/01/2015,27/01/2015,2015.0076,Italy,food,milk and milk products,dioxins and dioxin-like polychlorobifenyls (sum: 8.7 pg WHO TEQ/g) in cheese from Romania
21,information for attention,16/01/2015,16/02/2015,2015.0049,Slovenia,food,"cocoa and cocoa preparations, coffee and tea","benzo(a)pyrene (65 µg/kg - ppb) and polycyclic aromatic hydrocarbons (330 µg/kg - ppb) in cocoa from the Netherlands, dispatched from Bosnia and Herzegovina"
22,alert,08/01/2015,11/02/2015,2015.0025,Greece,food,fish and fish products,benzo(a)pyrene (12.7 µg/kg - ppb) and polycyclic aromatic hydrocarbons (57.42 µg/kg - ppb) in sprats pate from Latvia
