,classification,date_case,date_last_change,reference,country,type,category,subject
0,alert,08/10/2015,08/10/2015,2015.1265,Slovenia,food,fish and fish products,mercury (2.3 mg/kg - ppm) in smoked swordfish from Italy
1,information for attention,01/10/2015,01/10/2015,2015.1236,Switzerland,food,fish and fish products,mercury (1.5 mg/kg - ppm) in chilled filets of swordfish (Xiphias gladius) from Sri Lanka
2,information for attention,18/09/2015,24/09/2015,2015.1189,Italy,food,fish and fish products,mercury (1.26 mg/kg - ppm) in chilled swordfish (Xiphias gladius) from Spain
3,alert,17/09/2015,30/09/2015,2015.1179,Italy,food,fish and fish products,mercury (1.1 mg/kg - ppm) in frozen blue shark (Prionace glauca) from Portugal
4,information for attention,09/09/2015,10/09/2015,2015.1154,France,food,fish and fish products,mercury (1.976 mg/kg - ppm) in frozen swordfish loin from Indonesia
5,border rejection,07/09/2015,22/09/2015,2015.BKQ,Poland,food,fruits and vegetables,lead (0.26 mg/kg - ppm) in tomatoes from Ukraine
6,border rejection,07/09/2015,07/09/2015,2015.BKO,Italy,food,fish and fish products,mercury (0.964 mg/kg - ppm) in chilled John Dory (Zeus faber) fillets from Tunisia
7,information for attention,04/09/2015,14/09/2015,2015.1138,Norway,food,fish and fish products,cadmium (0.17 mg/kg - ppm) in dried anchovy (Stolephorus spp) from Thailand
8,border rejection,04/09/2015,04/09/2015,2015.BKH,Slovenia,food,"dietetic foods, food supplements, fortified foods",mercury (1.83; 0.21 mg/kg - ppm) in food supplements from India
9,border rejection,04/09/2015,04/09/2015,2015.BKF,Slovenia,food,"dietetic foods, food supplements, fortified foods",high content of lead (4.68 mg/kg - ppm) in food supplement from India
10,information for attention,03/09/2015,25/09/2015,2015.1136,Switzerland,food,fish and fish products,mercury (1.18 mg/kg - ppm) in chilled tuna fillets (Thunnus albacares) from the Philippines
11,border rejection,03/09/2015,14/09/2015,2015.BKA,France,food,fish and fish products,mercury (1.19 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from South Korea
12,alert,28/08/2015,04/09/2015,2015.1112,Italy,food,fish and fish products,mercury (1.4 mg/kg - ppm) in chilled swordfish carpaccio from Italy
13,information for attention,26/08/2015,07/09/2015,2015.1102,Germany,food,crustaceans and products thereof,cadmium (2.0810 mg/kg - ppm) in frozen scampi (Metanephrops spp) from New Zealand
14,alert,25/08/2015,22/09/2015,2015.1099,Slovakia,food,fruits and vegetables,cadmium (0.130 mg/kg - ppm) in carrots from Poland
15,alert,18/08/2015,08/10/2015,2015.1076,Slovenia,food,fish and fish products,"mercury (1.9 mg/kg - ppm) in frozen blue shark slices without skin from Portugal, with raw material from Spain"
16,information for attention,18/08/2015,21/09/2015,2015.1074,France,food,fish and fish products,mercury (2.2 mg/kg - ppm) in yellowfin tuna (Thunnus albacares) from Ecuador
17,alert,13/08/2015,07/10/2015,2015.1057,Poland,food,fish and fish products,mercury (2.3 mg/kg - ppm) in frozen steaks of tuna and steaks of marlin from Spain
18,alert,12/08/2015,17/09/2015,2015.1048,Italy,food,fish and fish products,mercury (1.465 mg/kg - ppm) in frozen swordfish  (Xiphias gladius) from Spain
19,alert,11/08/2015,08/10/2015,2015.1040,Italy,food,fish and fish products,mercury (2.13 mg/kg - ppm) in frozen swordfish slices (Xiphias gladius) from Spain
20,alert,11/08/2015,17/09/2015,2015.1036,Italy,food,fish and fish products,mercury (2.6 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from Spain
21,alert,03/08/2015,24/09/2015,2015.1010,Slovenia,food,fish and fish products,mercury (1.7 mg/kg - ppm) in frozen blue shark slices from Spain
22,alert,03/08/2015,17/09/2015,2015.1009,Italy,food,fish and fish products,mercury (1.3 mg/kg - ppm) in frozen shortfin mako (Isurus oxyrincus) from Spain
23,information for attention,31/07/2015,18/09/2015,2015.0997,Italy,food,fish and fish products,mercury (1.7 mg/kg - ppm) in chilled swordfish slices (Xiphias gladius) from Spain
24,alert,30/07/2015,25/09/2015,2015.0993,Italy,food,fish and fish products,"mercury (2.10 mg/kg - ppm) in frozen atlantic blue marlin (Makaira nigricans) from Portugal, with raw material from Spain"
25,alert,30/07/2015,25/09/2015,2015.0991,Italy,food,fish and fish products,mercury (2.15 mg/kg - ppm) in frozen loins of swordfish (Xiphias gladius) from Portugal
26,alert,30/07/2015,14/09/2015,2015.0992,Italy,food,fish and fish products,mercury (1.3 mg/kg - ppm) in frozen swordfish slices (Xiphias gladius) from Spain
27,alert,29/07/2015,29/07/2015,2015.0981,Italy,food,fish and fish products,mercury (1.52 mg/kg - ppm) in fresh swordfish (Xiphias gladius) from Spain
28,information for attention,23/07/2015,12/08/2015,2015.0960,Italy,food,fish and fish products,mercury (1.2 mg/kg - ppm) in chilled white seabreams (Diplodus sargus) from Spain
29,border rejection,23/07/2015,23/07/2015,2015.BFM,France,food,fish and fish products,mercury (0.90 mg/kg - ppm) in red porgy (Pagrus pagrus) from Morocco
30,information for follow-up,22/07/2015,20/08/2015,2015.0951,Germany,food,other food product / mixed,"antimony (4.5; 6.9; 1.5; 12.2; 7.1 mg/kg - ppm) in sugar sweepings from Belgium, via the Netherlands"
31,alert,22/07/2015,12/08/2015,2015.0952,Spain,food,fish and fish products,mercury (1.29; 1.8 mg/kg - ppm) in frozen blue shark (Prionace glauca) from Spain
32,border rejection,22/07/2015,22/07/2015,2015.BET,Spain,food,cephalopods and products thereof,cadmium (2.99 mg/kg - ppm) in frozen squid (loligo spp) from Yemen
33,information for attention,16/07/2015,02/09/2015,2015.0929,Italy,food,fish and fish products,mercury (1.52 mg/kg - ppm) in sliced swordfish from Spain
